index,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9
0,9普,8普,63,124,582,643,1380,1371,1370,1285
1,9普,78炮,106,211,625,730,1467,1457,1456,1372
2,9小喷,8普,40,80,574,614,1366,1356,1355,1271
3,9小喷,78炮,84,168,619,702,1454,1445,1444,1359
4,89炮,7普,61,121,611,671,1438,1428,1427,1343
5,89炮,67炮,105,208,654,758,1525,1515,1514,1430
6,8普,7普,63,124,825,887,1868,1858,1857,1773
7,8普,67炮,106,211,869,974,1954,1944,1943,1859
8,8南瓜,7普,62,123,733,794,1684,1674,1673,1589
9,8南瓜,67炮,105,210,777,881,1770,1761,1760,1675
10,78炮,6普,61,121,854,914,1925,1916,1915,1830
11,78炮,56炮,105,208,898,1001,2012,2002,2001,1917
