index,value0,value1
0,780.0000000000,819.0000000000
1,779.3200073242,818.3400268555
2,778.6400146484,817.6800537109
3,777.9600219727,817.0200805664
4,777.2800292969,816.3601074219
5,776.6000366211,815.7001342773
6,775.9200439453,815.0401611328
7,775.2400512695,814.3801879883
8,774.5600585938,813.7202148438
9,773.8800659180,813.0602416992
10,773.2000732422,812.4002685547
11,772.5200805664,811.7402954102
12,771.8400878906,811.0803222656
13,771.1600952148,810.4203491211
14,770.4801025391,809.7603759766
15,769.8001098633,809.1004028320
16,769.1201171875,808.4404296875
17,768.4401245117,807.7804565430
18,767.7601318359,807.1204833984
19,767.0801391602,806.4605102539
20,766.4001464844,805.8005371094
21,765.7201538086,805.1405639648
22,765.0401611328,804.4805908203
23,764.3601684570,803.8206176758
24,763.6801757812,803.1606445312
25,763.0001831055,802.5006713867
26,762.3201904297,801.8406982422
27,761.6401977539,801.1807250977
28,760.9602050781,800.5207519531
29,760.2802124023,799.8607788086
30,759.6002197266,799.2008056641
31,758.9202270508,798.5408325195
32,758.2402343750,797.8808593750
33,757.5602416992,797.2208862305
34,756.8802490234,796.5609130859
35,756.2002563477,795.9009399414
36,755.5202636719,795.2409667969
37,754.8402709961,794.5809936523
38,754.1602783203,793.9210205078
39,753.4802856445,793.2610473633
40,752.8002929688,792.6010742188
41,752.1203002930,791.9411010742
42,751.4403076172,791.2811279297
43,750.7603149414,790.6211547852
44,750.0803222656,789.9611816406
45,749.4003295898,789.3012084961
46,748.7203369141,788.6412353516
47,748.0403442383,787.9812622070
48,747.3603515625,787.3212890625
49,746.6803588867,786.6613159180
50,746.0003662109,786.0013427734
51,745.3203735352,785.3413696289
52,744.6403808594,784.6813964844
53,743.9603881836,784.0214233398
54,743.2803955078,783.3614501953
55,742.6004028320,782.7014770508
56,741.9204101562,782.0415039062
57,741.2404174805,781.3815307617
58,740.5604248047,780.7215576172
59,739.8804321289,780.0615844727
60,739.2004394531,779.4016113281
61,738.5204467773,778.7416381836
62,737.8404541016,778.0816650391
63,737.1604614258,777.4216918945
64,736.4804687500,776.7617187500
65,735.8004760742,776.1017456055
66,735.1204833984,775.4417724609
67,734.4404907227,774.7817993164
68,733.7604980469,774.1218261719
69,733.0805053711,773.4618530273
70,732.4005126953,772.8018798828
71,731.7205200195,772.1419067383
72,731.0405273438,771.4819335938
73,730.3605346680,770.8219604492
74,729.6805419922,770.1619873047
75,729.0005493164,769.5020141602
76,728.3205566406,768.8420410156
77,727.6405639648,768.1820678711
78,726.9605712891,767.5220947266
79,726.2805786133,766.8621215820
80,725.6005859375,766.2021484375
81,724.9205932617,765.5421752930
82,724.2406005859,764.8822021484
83,723.5606079102,764.2222290039
84,722.8806152344,763.5622558594
85,722.2006225586,762.9022827148
86,721.5206298828,762.2423095703
87,720.8406372070,761.5823364258
88,720.1606445312,760.9223632812
89,719.4806518555,760.2623901367
90,718.8006591797,759.6024169922
91,718.1206665039,758.9424438477
92,717.4406738281,758.2824707031
93,716.7606811523,757.6224975586
94,716.0806884766,756.9625244141
95,715.4006958008,756.3025512695
96,714.7207031250,755.6425781250
97,714.0407104492,754.9826049805
98,713.3607177734,754.3226318359
99,712.6807250977,753.6626586914
100,712.0007324219,753.0026855469
101,711.3207397461,752.3427124023
102,710.6407470703,751.6827392578
103,709.9607543945,751.0227661133
104,709.2807617188,750.3627929688
105,708.6007690430,749.7028198242
106,707.9207763672,749.0428466797
107,707.2407836914,748.3828735352
108,706.5607910156,747.7229003906
109,705.8807983398,747.0629272461
110,705.2008056641,746.4029541016
111,704.5208129883,745.7429809570
112,703.8408203125,745.0830078125
113,703.1608276367,744.4230346680
114,702.4808349609,743.7630615234
115,701.8008422852,743.1030883789
116,701.1208496094,742.4431152344
117,700.4408569336,741.7831420898
118,699.7608642578,741.1231689453
119,699.0808715820,740.4631958008
120,698.4008789062,739.8032226562
121,697.7208862305,739.1432495117
122,697.0408935547,738.4832763672
123,696.3609008789,737.8233032227
124,695.6809082031,737.1633300781
125,695.0009155273,736.5033569336
126,694.3209228516,735.8433837891
127,693.6409301758,735.1834106445
128,692.9609375000,734.5234375000
129,692.2809448242,733.8634643555
130,691.6009521484,733.2034912109
131,690.9209594727,732.5435180664
132,690.2409667969,731.8835449219
133,689.5609741211,731.2235717773
134,688.8809814453,730.5635986328
135,688.2009887695,729.9036254883
136,687.5209960938,729.2436523438
137,686.8410034180,728.5836791992
138,686.1610107422,727.9237060547
139,685.4810180664,727.2637329102
140,684.8010253906,726.6037597656
141,684.1210327148,725.9437866211
142,683.4410400391,725.2838134766
143,682.7610473633,724.6238403320
144,682.0810546875,723.9638671875
145,681.4010620117,723.3038940430
146,680.7210693359,722.6439208984
147,680.0410766602,721.9839477539
148,679.3610839844,721.3239746094
149,678.6810913086,720.6640014648
150,678.0010986328,720.0040283203
151,677.3211059570,719.3440551758
152,676.6411132812,718.6840820312
153,675.9611206055,718.0241088867
154,675.2811279297,717.3641357422
155,674.6011352539,716.7041625977
156,673.9211425781,716.0441894531
157,673.2411499023,715.3842163086
158,672.5611572266,714.7242431641
159,671.8811645508,714.0642700195
160,671.2011718750,713.4042968750
161,670.5211791992,712.7443237305
162,669.8411865234,712.0843505859
163,669.1611938477,711.4243774414
164,668.4812011719,710.7644042969
165,667.8012084961,710.1044311523
166,667.1212158203,709.4444580078
167,666.4412231445,708.7844848633
168,665.7612304688,708.1245117188
169,665.0812377930,707.4645385742
170,664.4012451172,706.8045654297
171,663.7212524414,706.1445922852
172,663.0412597656,705.4846191406
173,662.3612670898,704.8246459961
174,661.6812744141,704.1646728516
175,661.0012817383,703.5046997070
176,660.3212890625,702.8447265625
177,659.6412963867,702.1847534180
178,658.9613037109,701.5247802734
179,658.2813110352,700.8648071289
180,657.6013183594,700.2048339844
181,656.9213256836,699.5448608398
182,656.2413330078,698.8848876953
183,655.5613403320,698.2249145508
184,654.8813476562,697.5649414062
185,654.2013549805,696.9049682617
186,653.5213623047,696.2449951172
187,652.8413696289,695.5850219727
188,652.1613769531,694.9250488281
189,651.4813842773,694.2650756836
190,650.8013916016,693.6051025391
191,650.1213989258,692.9451293945
192,649.4414062500,692.2851562500
193,648.7614135742,691.6251831055
194,648.0814208984,690.9652099609
195,647.4014282227,690.3052368164
196,646.7214355469,689.6452636719
197,646.0414428711,688.9852905273
198,645.3614501953,688.3253173828
199,644.6814575195,687.6653442383
200,644.0014648438,687.0053710938
201,643.3214721680,686.3453979492
202,642.6414794922,685.6854248047
203,641.9614868164,685.0254516602
204,641.2814941406,684.3654785156
205,640.6015014648,683.7055053711
206,639.9215087891,683.0455322266
207,639.2415161133,682.3855590820
208,638.5615234375,681.7255859375
209,637.8815307617,681.0656127930
210,637.2015380859,680.4056396484
211,636.5215454102,679.7456665039
212,635.8415527344,679.0856933594
213,635.1615600586,678.4257202148
214,634.4815673828,677.7657470703
215,633.8015747070,677.1057739258
216,633.1215820312,676.4458007812
217,632.4415893555,675.7858276367
218,631.7615966797,675.1258544922
219,631.0816040039,674.4658813477
220,630.4016113281,673.8059082031
221,629.7216186523,673.1459350586
222,629.0416259766,672.4859619141
223,628.3616333008,671.8259887695
224,627.6816406250,671.1660156250
225,627.0016479492,670.5060424805
226,626.3216552734,669.8460693359
227,625.6416625977,669.1860961914
228,624.9616699219,668.5261230469
229,624.2816772461,667.8661499023
230,623.6016845703,667.2061767578
231,622.9216918945,666.5462036133
232,622.2416992188,665.8862304688
233,621.5617065430,665.2262573242
234,620.8817138672,664.5662841797
235,620.2017211914,663.9063110352
236,619.5217285156,663.2463378906
237,618.8417358398,662.5863647461
238,618.1617431641,661.9263916016
239,617.4817504883,661.2664184570
240,616.8017578125,660.6064453125
241,616.1217651367,659.9464721680
242,615.4417724609,659.2864990234
243,614.7617797852,658.6265258789
244,614.0817871094,657.9665527344
245,613.4017944336,657.3065795898
246,612.7218017578,656.6466064453
247,612.0418090820,655.9866333008
248,611.3618164062,655.3266601562
249,610.6818237305,654.6666870117
250,610.0018310547,654.0067138672
251,609.3218383789,653.3467407227
252,608.6418457031,652.6867675781
253,607.9618530273,652.0267944336
254,607.2818603516,651.3668212891
255,606.6018676758,650.7068481445
256,605.9218750000,650.0468750000
257,605.2418823242,649.3869018555
258,604.5618896484,648.7269287109
259,603.8818969727,648.0669555664
260,603.2019042969,647.4069824219
261,602.5219116211,646.7470092773
262,601.8419189453,646.0870361328
263,601.1619262695,645.4270629883
264,600.4819335938,644.7670898438
265,599.8019409180,644.1071166992
266,599.1219482422,643.4471435547
267,598.4419555664,642.7871704102
268,597.7619628906,642.1271972656
269,597.0819702148,641.4672241211
270,596.4019775391,640.8072509766
271,595.7219848633,640.1472778320
272,595.0419921875,639.4873046875
273,594.3619995117,638.8273315430
274,593.6820068359,638.1673583984
275,593.0020141602,637.5073852539
276,592.3220214844,636.8474121094
277,591.6420288086,636.1874389648
