t,norm,slow
0,0.0953369141,0.0476684570
1,0.1906738281,0.0953369141
2,0.2860107422,0.1430053711
3,0.3813476563,0.1906738281
4,0.4766845703,0.2383422852
5,0.5720214844,0.2860107422
6,0.6673583984,0.3336791992
7,0.7626953125,0.3813476563
8,0.8699340820,0.4290161133
9,0.9771728516,0.4766845703
10,1.0844116211,0.5243530273
11,1.1916503906,0.5720214844
12,1.2988891602,0.6196899414
13,1.4061279297,0.6673583984
14,1.5133666992,0.7150268555
15,1.6206054688,0.7626953125
16,1.7278442383,0.8162841797
17,1.8350830078,0.8698730469
18,1.9423217773,0.9234619141
19,2.0495605469,0.9770507813
20,2.1567993164,1.0306396484
21,2.2640380859,1.0842285156
22,2.3712768555,1.1378173828
23,2.4785156250,1.1914062500
24,2.5857543945,1.2449951172
25,2.6929931641,1.2985839844
26,2.8002319336,1.3521728516
27,2.9074707031,1.4057617188
28,3.0147094727,1.4593505859
29,3.1219482422,1.5129394531
30,3.2291870117,1.5665283203
31,3.3364257813,1.6201171875
32,3.4436645508,1.6737060547
33,3.5509033203,1.7272949219
34,3.6462402344,1.7808837891
35,3.7415771484,1.8344726563
36,3.8369140625,1.8880615234
37,3.9322509766,1.9416503906
38,4.0275878906,1.9952392578
39,4.1229248047,2.0488281250
40,4.2182617188,2.1024169922
41,4.3135986328,2.1560058594
42,4.6472167969,2.2095947266
43,4.9808349609,2.2631835938
44,5.3144531250,2.3167724609
45,5.6480712891,2.3703613281
46,5.9816894531,2.4239501953
47,6.3153076172,2.4775390625
48,6.6489257813,2.5311279297
49,6.9825439453,2.5847167969
50,7.3161621094,2.6383056641
51,7.6497802734,2.6918945313
52,7.9833984375,2.7454833984
53,8.3170166016,2.7990722656
54,8.6506347656,2.8526611328
55,8.9842529297,2.9062500000
56,9.3178710938,2.9598388672
57,9.6514892578,3.0134277344
58,9.9851074219,3.0670166016
59,10.3187255859,3.1206054688
60,10.6404418945,3.1741943359
61,10.9621582031,3.2277832031
62,11.2838745117,3.2813720703
63,11.6055908203,3.3349609375
64,11.9273071289,3.3885498047
65,12.2490234375,3.4421386719
66,12.5707397461,3.4957275391
67,12.8924560547,3.5433959961
68,13.0473632813,3.5910644531
69,13.2022705078,3.6387329102
70,13.3571777344,3.6864013672
71,13.5120849609,3.7340698242
72,13.6669921875,3.7817382813
73,13.8218994141,3.8294067383
74,13.9768066406,3.8770751953
75,14.1317138672,3.9247436523
76,14.2866210938,3.9724121094
77,14.4415283203,4.0200805664
78,14.5964355469,4.0677490234
79,14.7513427734,4.1154174805
80,14.9062500000,4.1630859375
81,15.0611572266,4.2107543945
82,15.2160644531,4.2584228516
83,15.3709716797,4.3060913086
84,15.5258789063,4.4729003906
85,15.6807861328,4.6397094727
86,15.8356933594,4.8065185547
87,15.9906005859,4.9733276367
88,16.1455078125,5.1401367188
89,16.3004150391,5.3069458008
90,16.4553222656,5.4737548828
91,16.6102294922,5.6405639648
92,16.7651367188,5.8073730469
93,16.9200439453,5.9741821289
94,17.0630493164,6.1409912109
95,17.2060546875,6.3078002930
96,17.3490600586,6.4746093750
97,17.4920654297,6.6414184570
98,17.6350708008,6.8082275391
99,17.7780761719,6.9750366211
100,17.9210815430,7.1418457031
101,18.0640869141,7.3086547852
102,18.2070922852,7.4754638672
103,18.3500976563,7.6422729492
104,18.4931030273,7.8090820313
105,18.6361083984,7.9758911133
106,18.7791137695,8.1427001953
107,18.9221191406,8.3095092773
108,19.0651245117,8.4763183594
109,19.2081298828,8.6431274414
110,19.3511352539,8.8099365234
111,19.4941406250,8.9767456055
112,19.6371459961,9.1435546875
113,19.7801513672,9.3103637695
114,19.9231567383,9.4771728516
115,20.0661621094,9.6439819336
116,20.2091674805,9.8107910156
117,20.3521728516,9.9776000977
118,20.4951782227,10.1444091797
119,20.6381835938,10.3052368164
120,20.7811889648,10.4660644531
121,20.9241943359,10.6268920898
122,21.0671997070,10.7877197266
123,21.2102050781,10.9485473633
124,21.3532104492,11.1093750000
125,21.4962158203,11.2702026367
126,21.6392211914,11.4310302734
127,21.7822265625,11.5918579102
128,21.9252319336,11.7526855469
129,22.0682373047,11.9135131836
130,22.2112426758,12.0743408203
131,22.3542480469,12.2351684570
132,22.4972534180,12.3959960938
133,22.6402587891,12.5568237305
134,22.7832641602,12.7176513672
135,22.9262695313,12.8784790039
136,23.0692749023,12.9559326172
137,23.1765136719,13.0333862305
138,23.2837524414,13.1108398438
139,23.3909912109,13.1882934570
140,23.4982299805,13.2657470703
141,23.6054687500,13.3432006836
142,23.7127075195,13.4206542969
143,23.8199462891,13.4981079102
144,23.9271850586,13.5755615234
145,24.0344238281,13.6530151367
146,24.1535644531,13.7304687500
147,24.2727050781,13.8079223633
148,24.3918457031,13.8853759766
149,24.5109863281,13.9628295898
150,24.6301269531,14.0402832031
151,24.7492675781,14.1177368164
152,24.8684082031,14.1951904297
153,24.9875488281,14.2726440430
154,25.0947875977,14.3500976563
155,25.2020263672,14.4275512695
156,25.3092651367,14.5050048828
157,25.4165039063,14.5824584961
158,25.5237426758,14.6599121094
159,25.6309814453,14.7373657227
160,25.7382202148,14.8148193359
161,25.8454589844,14.8922729492
162,25.9526977539,14.9697265625
163,26.0599365234,15.0471801758
164,26.1671752930,15.1246337891
165,26.2744140625,15.2020874023
166,26.3816528320,15.2795410156
167,26.4888916016,15.3569946289
168,26.5961303711,15.4344482422
169,26.7033691406,15.5119018555
170,26.8106079102,15.5893554688
171,26.9297485352,15.6668090820
172,27.0488891602,15.7442626953
173,27.1680297852,15.8217163086
174,27.2871704102,15.8991699219
175,27.4063110352,15.9766235352
176,27.5254516602,16.0540771484
177,27.6445922852,16.1315307617
178,27.7637329102,16.2089843750
179,27.8828735352,16.2864379883
180,28.0496826172,16.3638916016
181,28.2164916992,16.4413452148
182,28.3833007813,16.5187988281
183,28.5501098633,16.5962524414
184,28.7169189453,16.6737060547
185,28.8837280273,16.7511596680
186,29.0505371094,16.8286132813
187,29.2173461914,16.9060668945
188,29.3841552734,16.9775390625
189,29.5509643555,17.0490112305
190,29.7177734375,17.1204833984
191,29.8845825195,17.1919555664
192,30.0513916016,17.2634277344
193,30.2182006836,17.3348999023
194,30.3850097656,17.4063720703
195,30.5518188477,17.4778442383
196,30.7186279297,17.5493164063
197,30.8854370117,17.6207885742
198,31.0522460938,17.6922607422
199,31.2190551758,17.7637329102
200,31.3858642578,17.8352050781
201,31.5526733398,17.9066772461
202,31.7194824219,17.9781494141
203,31.8862915039,18.0496215820
204,32.0531005859,18.1210937500
205,32.2199096680,18.1925659180
206,32.3867187500,18.2640380859
207,32.5535278320,18.3355102539
208,32.7203369141,18.4069824219
209,32.8871459961,18.4784545898
210,33.0539550781,18.5499267578
211,33.2207641602,18.6213989258
212,33.3875732422,18.6928710938
213,33.5543823242,18.7643432617
214,33.7211914063,18.8358154297
215,33.8880004883,18.9072875977
216,34.0548095703,18.9787597656
217,34.2216186523,19.0502319336
218,34.3884277344,19.1217041016
219,34.5552368164,19.1931762695
220,34.7220458984,19.2646484375
221,34.8888549805,19.3361206055
222,35.0556640625,19.4075927734
223,35.2462768555,19.4790649414
224,35.4368896484,19.5505371094
225,35.6275024414,19.6220092773
226,35.8181152344,19.6934814453
227,36.0087280273,19.7649536133
228,36.1993408203,19.8364257813
229,36.3899536133,19.9078979492
230,36.5805664063,19.9793701172
231,36.7711791992,20.0508422852
232,36.9737548828,20.1223144531
233,37.1763305664,20.1937866211
234,37.3789062500,20.2652587891
235,37.5814819336,20.3367309570
236,37.7840576172,20.4082031250
237,37.9866333008,20.4796752930
238,38.1892089844,20.5511474609
239,38.3917846680,20.6226196289
240,38.5823974609,20.6940917969
241,38.7730102539,20.7655639648
242,38.9636230469,20.8370361328
243,39.1542358398,20.9085083008
244,39.3448486328,20.9799804688
245,39.5354614258,21.0514526367
246,39.7260742188,21.1229248047
247,39.9166870117,21.1943969727
248,40.1072998047,21.2658691406
249,40.2979125977,21.3373413086
250,40.4885253906,21.4088134766
251,40.6791381836,21.4802856445
252,40.8697509766,21.5517578125
253,41.0603637695,21.6232299805
254,41.2509765625,21.6947021484
255,41.4415893555,21.7661743164
256,41.6322021484,21.8376464844
257,41.8347778320,21.9091186523
258,42.0373535156,21.9805908203
259,42.2399291992,22.0520629883
260,42.4425048828,22.1235351563
261,42.6450805664,22.1950073242
262,42.8476562500,22.2664794922
263,43.0502319336,22.3379516602
264,43.2528076172,22.4094238281
265,43.4553833008,22.4808959961
266,43.6936645508,22.5523681641
267,43.9319458008,22.6238403320
268,44.1702270508,22.6953125000
269,44.4085083008,22.7667846680
270,44.6467895508,22.8382568359
271,44.8850708008,22.9097290039
272,45.1233520508,22.9812011719
273,45.3616333008,23.0526733398
274,45.5999145508,23.1062622070
275,45.8500976563,23.1598510742
276,46.1002807617,23.2134399414
277,46.3504638672,23.2670288086
278,46.6006469727,23.3206176758
279,46.8508300781,23.3742065430
280,47.1010131836,23.4277954102
281,47.3511962891,23.4813842773
282,47.6013793945,23.5349731445
283,47.8396606445,23.5885620117
284,48.0779418945,23.6421508789
285,48.3162231445,23.6957397461
286,48.5545043945,23.7493286133
287,48.7927856445,23.8029174805
288,49.0310668945,23.8565063477
289,49.2693481445,23.9100952148
290,49.5076293945,23.9636840820
291,49.7459106445,24.0232543945
292,49.9960937500,24.0828247070
293,50.2462768555,24.1423950195
294,50.4964599609,24.2019653320
295,50.7466430664,24.2615356445
296,50.9968261719,24.3211059570
297,51.2470092773,24.3806762695
298,51.4971923828,24.4402465820
299,51.7473754883,24.4998168945
300,51.9683227539,24.5593872070
301,52.1827392578,24.6189575195
302,52.3971557617,24.6785278320
303,52.6115722656,24.7380981445
304,52.8259887695,24.7976684570
305,53.0404052734,24.8572387695
306,53.2548217773,24.9168090820
307,53.4692382813,24.9763793945
308,53.6836547852,25.0299682617
309,53.8980712891,25.0835571289
310,54.1124877930,25.1371459961
311,54.3269042969,25.1907348633
312,54.5413208008,25.2443237305
313,54.7557373047,25.2979125977
314,54.9701538086,25.3515014648
315,55.1845703125,25.4050903320
316,55.3989868164,25.4586791992
317,55.6134033203,25.5122680664
318,55.8278198242,25.5658569336
319,56.0422363281,25.6194458008
320,56.2566528320,25.6730346680
321,56.4710693359,25.7266235352
322,56.6854858398,25.7802124023
323,56.8999023438,25.8338012695
324,57.1143188477,25.8873901367
325,57.3287353516,25.9409790039
326,57.5431518555,25.9945678711
327,57.7575683594,26.0481567383
328,57.9719848633,26.1017456055
329,58.1864013672,26.1553344727
330,58.4008178711,26.2089233398
331,58.6152343750,26.2625122070
332,58.8296508789,26.3161010742
333,59.0440673828,26.3696899414
334,59.2584838867,26.4232788086
335,59.4729003906,26.4768676758
336,59.6873168945,26.5304565430
337,59.9017333984,26.5840454102
338,60.1161499023,26.6376342773
339,60.3305664063,26.6912231445
340,60.5449829102,26.7448120117
341,60.7593994141,26.7984008789
342,60.9738159180,26.8579711914
343,61.1882324219,26.9175415039
344,61.3907470703,26.9771118164
345,61.5932617188,27.0366821289
346,61.7957763672,27.0962524414
347,61.9982910156,27.1558227539
348,62.2008056641,27.2153930664
349,62.4033203125,27.2749633789
350,62.6058349609,27.3345336914
351,62.8083496094,27.3941040039
352,62.9036254883,27.4536743164
353,62.9989013672,27.5132446289
354,63.0941772461,27.5728149414
355,63.1894531250,27.6323852539
356,63.2847290039,27.6919555664
357,63.3800048828,27.7515258789
358,63.4752807617,27.8110961914
359,63.5705566406,27.8706665039
360,63.6658325195,27.9540405273
361,63.7730102539,28.0374145508
362,63.8801879883,28.1207885742
363,63.9873657227,28.2041625977
364,64.0945434570,28.2875366211
365,64.2017211914,28.3709106445
366,64.3088989258,28.4542846680
367,64.4160766602,28.5376586914
368,64.5232543945,28.6210327148
369,64.6304321289,28.7044067383
370,64.7376098633,28.7877807617
371,64.8447875977,28.8711547852
372,64.9519653320,28.9545288086
373,65.0591430664,29.0379028320
374,65.1663208008,29.1212768555
375,65.2734985352,29.2046508789
376,65.3806762695,29.2880249023
377,65.4878540039,29.3713989258
378,65.5950317383,29.4547729492
379,65.7022094727,29.5381469727
380,65.8093872070,29.6215209961
381,65.9165649414,29.7048950195
382,66.0237426758,29.7882690430
383,66.1309204102,29.8716430664
384,66.2380981445,29.9550170898
385,66.3452758789,30.0383911133
386,66.4524536133,30.1217651367
387,66.5477294922,30.2051391602
388,66.6430053711,30.2885131836
389,66.7382812500,30.3718872070
390,66.8335571289,30.4552612305
391,66.9288330078,30.5386352539
392,67.0241088867,30.6220092773
393,67.1193847656,30.7053833008
394,67.2146606445,30.7887573242
395,67.5481567383,30.8721313477
396,67.8816528320,30.9555053711
397,68.2151489258,31.0388793945
398,68.5486450195,31.1222534180
399,68.8821411133,31.2056274414
400,69.2156372070,31.2890014648
401,69.5491333008,31.3723754883
402,69.8826293945,31.4557495117
403,70.2161254883,31.5391235352
404,70.5496215820,31.6224975586
405,70.8831176758,31.7058715820
406,71.2166137695,31.7892456055
407,71.5501098633,31.8726196289
408,71.8836059570,31.9559936523
409,72.2171020508,32.0393676758
410,72.5505981445,32.1227416992
411,72.8840942383,32.2061157227
412,73.2056884766,32.2894897461
413,73.5272827148,32.3728637695
414,73.8488769531,32.4562377930
415,74.1704711914,32.5396118164
416,74.4920654297,32.6229858398
417,74.8136596680,32.7063598633
418,75.1352539063,32.7897338867
419,75.4568481445,32.8731079102
420,75.7784423828,32.9564819336
421,75.9332885742,33.0398559570
422,76.0881347656,33.1232299805
423,76.2429809570,33.2066040039
424,76.3978271484,33.2899780273
425,76.5526733398,33.3733520508
426,76.7075195313,33.4567260742
427,76.8623657227,33.5401000977
428,77.0172119141,33.6234741211
429,77.1720581055,33.7068481445
430,77.3269042969,33.7902221680
431,77.4817504883,33.8735961914
432,77.6365966797,33.9569702148
433,77.7914428711,34.0403442383
434,77.9462890625,34.1237182617
435,78.1011352539,34.2070922852
436,78.2559814453,34.2904663086
437,78.4108276367,34.3738403320
438,78.5656738281,34.4572143555
439,78.7205200195,34.5405883789
440,78.8753662109,34.6239624023
441,79.0302124023,34.7073364258
442,79.1850585938,34.7907104492
443,79.3399047852,34.8740844727
444,79.4947509766,34.9574584961
445,79.6495971680,35.0408325195
446,79.8044433594,35.1361694336
447,79.9473876953,35.2315063477
448,80.0903320313,35.3268432617
449,80.2332763672,35.4221801758
450,80.3762207031,35.5175170898
451,80.5191650391,35.6128540039
452,80.6621093750,35.7081909180
453,80.8050537109,35.8035278320
454,80.9479980469,35.8988647461
455,81.0909423828,35.9942016602
456,81.2338867188,36.0895385742
457,81.3768310547,36.1848754883
458,81.5197753906,36.2802124023
459,81.6627197266,36.3755493164
460,81.8056640625,36.4708862305
461,81.9486083984,36.5662231445
462,82.0915527344,36.6615600586
463,82.2344970703,36.7628173828
464,82.3774414063,36.8640747070
465,82.5203857422,36.9653320313
466,82.6633300781,37.0665893555
467,82.8062744141,37.1678466797
468,82.9492187500,37.2691040039
469,83.0921630859,37.3703613281
470,83.2351074219,37.4716186523
471,83.3780517578,37.5728759766
472,83.5209960938,37.6741333008
473,83.6639404297,37.7753906250
474,83.8068847656,37.8766479492
475,83.9498291016,37.9779052734
476,84.0927734375,38.0791625977
477,84.2357177734,38.1804199219
478,84.3786621094,38.2816772461
479,84.5216064453,38.3829345703
480,84.6645507813,38.4782714844
481,84.8074951172,38.5736083984
482,84.9504394531,38.6689453125
483,85.0933837891,38.7642822266
484,85.2363281250,38.8596191406
485,85.3792724609,38.9549560547
486,85.5222167969,39.0502929688
487,85.6651611328,39.1456298828
488,85.8081054688,39.2409667969
489,85.9510498047,39.3363037109
490,86.0582275391,39.4316406250
491,86.1654052734,39.5269775391
492,86.2725830078,39.6223144531
493,86.3797607422,39.7176513672
494,86.4869384766,39.8129882813
495,86.5941162109,39.9083251953
496,86.7012939453,40.0036621094
497,86.8084716797,40.0989990234
498,86.9276123047,40.1943359375
499,87.0467529297,40.2896728516
500,87.1658935547,40.3850097656
501,87.2850341797,40.4803466797
502,87.4041748047,40.5756835938
503,87.5233154297,40.6710205078
504,87.6424560547,40.7663574219
505,87.7615966797,40.8616943359
506,87.8807373047,40.9570312500
507,87.9879150391,41.0523681641
508,88.0950927734,41.1477050781
509,88.2022705078,41.2430419922
510,88.3094482422,41.3383789063
511,88.4166259766,41.4337158203
512,88.5238037109,41.5290527344
513,88.6309814453,41.6243896484
514,88.7381591797,41.7256469727
515,88.8453369141,41.8269042969
516,88.9525146484,41.9281616211
517,89.0596923828,42.0294189453
518,89.1668701172,42.1306762695
519,89.2740478516,42.2319335938
520,89.3812255859,42.3331909180
521,89.4884033203,42.4344482422
522,89.5955810547,42.5357055664
523,89.7027587891,42.6369628906
524,89.8218994141,42.7382202148
525,89.9410400391,42.8394775391
526,90.0601806641,42.9407348633
527,90.1793212891,43.0419921875
528,90.2984619141,43.1432495117
529,90.4176025391,43.2445068359
530,90.5367431641,43.3457641602
531,90.6558837891,43.4470214844
532,90.7750244141,43.5661621094
533,90.9417724609,43.6853027344
534,91.1085205078,43.8044433594
535,91.2752685547,43.9235839844
536,91.4420166016,44.0427246094
537,91.6087646484,44.1618652344
538,91.7755126953,44.2810058594
539,91.9422607422,44.4001464844
540,92.1090087891,44.5192871094
541,92.2757568359,44.6384277344
542,92.4425048828,44.7575683594
543,92.6092529297,44.8767089844
544,92.7760009766,44.9958496094
545,92.9427490234,45.1149902344
546,93.1094970703,45.2341308594
547,93.2762451172,45.3532714844
548,93.4429931641,45.4724121094
549,93.6097412109,45.5975341797
550,93.7764892578,45.7226562500
551,93.9432373047,45.8477783203
552,94.1099853516,45.9729003906
553,94.2767333984,46.0980224609
554,94.4434814453,46.2231445313
555,94.6102294922,46.3482666016
556,94.7769775391,46.4733886719
557,94.9437255859,46.5985107422
558,95.1104736328,46.7236328125
559,95.2772216797,46.8487548828
560,95.4439697266,46.9738769531
561,95.6107177734,47.0989990234
562,95.7774658203,47.2241210938
563,95.9442138672,47.3492431641
564,96.1109619141,47.4743652344
565,96.2777099609,47.5994873047
566,96.4444580078,47.7186279297
567,96.6112060547,47.8377685547
568,96.7779541016,47.9569091797
569,96.9447021484,48.0760498047
570,97.1114501953,48.1951904297
571,97.2781982422,48.3143310547
572,97.4449462891,48.4334716797
573,97.6116943359,48.5526123047
574,97.7784423828,48.6717529297
575,97.9451904297,48.7908935547
576,98.1358032227,48.9100341797
577,98.3264160156,49.0291748047
578,98.5170288086,49.1483154297
579,98.7076416016,49.2674560547
580,98.8982543945,49.3865966797
581,99.0888671875,49.5057373047
582,99.2794799805,49.6248779297
583,99.4700927734,49.7500000000
584,99.6726074219,49.8751220703
585,99.8751220703,50.0002441406
586,100.0776367188,50.1253662109
587,100.2801513672,50.2504882813
588,100.4826660156,50.3756103516
589,100.6851806641,50.5007324219
590,100.8876953125,50.6258544922
591,101.0902099609,50.7509765625
592,101.2927246094,50.8760986328
593,101.4833374023,51.0012207031
594,101.6739501953,51.1263427734
595,101.8645629883,51.2514648438
596,102.0551757813,51.3765869141
597,102.2457885742,51.5017089844
598,102.4364013672,51.6268310547
599,102.6270141602,51.7519531250
600,102.8176269531,51.8591918945
601,103.0082397461,51.9664306641
602,103.1988525391,52.0736694336
603,103.3894653320,52.1809082031
604,103.5800781250,52.2881469727
605,103.7706909180,52.3953857422
606,103.9613037109,52.5026245117
607,104.1519165039,52.6098632813
608,104.3425292969,52.7171020508
609,104.5331420898,52.8243408203
610,104.7356567383,52.9315795898
611,104.9381713867,53.0388183594
612,105.1406860352,53.1460571289
613,105.3432006836,53.2532958984
614,105.5457153320,53.3605346680
615,105.7482299805,53.4677734375
616,105.9507446289,53.5750122070
617,106.1532592773,53.6822509766
618,106.3557739258,53.7894897461
619,106.5939941406,53.8967285156
620,106.8322143555,54.0039672852
621,107.0704345703,54.1112060547
622,107.3086547852,54.2184448242
623,107.5468750000,54.3256835938
624,107.7850952148,54.4329223633
625,108.0233154297,54.5401611328
626,108.2615356445,54.6473999023
627,108.5116577148,54.7546386719
628,108.7617797852,54.8618774414
629,109.0119018555,54.9691162109
630,109.2620239258,55.0763549805
631,109.5121459961,55.1835937500
632,109.7622680664,55.2908325195
633,110.0123901367,55.3980712891
634,110.2625122070,55.5053100586
635,110.5126342773,55.6125488281
636,110.7508544922,55.7197875977
637,110.9890747070,55.8270263672
638,111.2272949219,55.9342651367
639,111.4655151367,56.0415039063
640,111.7037353516,56.1487426758
641,111.9419555664,56.2559814453
642,112.1801757813,56.3632202148
643,112.4183959961,56.4704589844
644,112.6582031250,56.5776977539
645,112.9083862305,56.6849365234
646,113.1585693359,56.7921752930
647,113.4087524414,56.8994140625
648,113.6589355469,57.0066528320
649,113.9091186523,57.1138916016
650,114.1593017578,57.2211303711
651,114.4094848633,57.3283691406
652,114.6596679688,57.4356079102
653,114.8741455078,57.5428466797
654,115.0886230469,57.6500854492
655,115.3031005859,57.7573242188
656,115.5175781250,57.8645629883
657,115.7320556641,57.9718017578
658,115.9465332031,58.0790405273
659,116.1610107422,58.1862792969
660,116.3754882813,58.2935180664
661,116.5899658203,58.4007568359
662,116.8044433594,58.5079956055
663,117.0189208984,58.6152343750
664,117.2333984375,58.7224731445
665,117.4478759766,58.8297119141
666,117.6623535156,58.9369506836
667,117.8768310547,59.0441894531
668,118.0913085938,59.1514282227
669,118.3057861328,59.2586669922
670,118.5202636719,59.3659057617
671,118.7347412109,59.4731445313
672,118.9492187500,59.5803833008
673,119.1636962891,59.6876220703
674,119.3781738281,59.7948608398
675,119.5926513672,59.9020996094
676,119.8071289063,60.0093383789
677,120.0216064453,60.1165771484
678,120.2360839844,60.2238159180
679,120.4505615234,60.3310546875
680,120.6650390625,60.4382934570
681,120.8795166016,60.5455322266
682,121.0939941406,60.6527709961
683,121.3084716797,60.7600097656
684,121.5229492188,60.8672485352
685,121.7374267578,60.9744873047
686,121.9519042969,61.0757446289
687,122.1663818359,61.1770019531
688,122.3808593750,61.2782592773
689,122.5953369141,61.3795166016
690,122.8098144531,61.4807739258
691,123.0242919922,61.5820312500
692,123.2387695313,61.6832885742
693,123.4532470703,61.7845458984
694,123.6677246094,61.8858032227
695,123.8822021484,61.9870605469
696,124.0847778320,62.0883178711
697,124.2873535156,62.1895751953
698,124.4899291992,62.2908325195
699,124.6925048828,62.3920898438
700,124.8950805664,62.4933471680
701,125.0976562500,62.5946044922
702,125.3002319336,62.6958618164
703,125.5028076172,62.7971191406
704,125.7053833008,62.8447875977
705,125.8007202148,62.8924560547
706,125.8960571289,62.9401245117
707,125.9913940430,62.9877929688
708,126.0867309570,63.0354614258
709,126.1820678711,63.0831298828
710,126.2774047852,63.1307983398
711,126.3727416992,63.1784667969
712,126.4680786133,63.2261352539
713,126.5753173828,63.2738037109
714,126.6825561523,63.3214721680
715,126.7897949219,63.3691406250
716,126.8970336914,63.4168090820
717,127.0042724609,63.4644775391
718,127.1115112305,63.5121459961
719,127.2187500000,63.5598144531
720,127.3259887695,63.6074829102
721,127.4332275391,63.6610717773
722,127.5404663086,63.7146606445
723,127.6477050781,63.7682495117
724,127.7549438477,63.8218383789
725,127.8621826172,63.8754272461
726,127.9694213867,63.9290161133
727,128.0766601563,63.9826049805
728,128.1838989258,64.0361938477
729,128.2911376953,64.0897827148
730,128.3983764648,64.1433715820
731,128.5056152344,64.1969604492
732,128.6128540039,64.2505493164
733,128.7200927734,64.3041381836
734,128.8273315430,64.3577270508
735,128.9345703125,64.4113159180
