index,value0,value1
0,0.0953369141,0.0592651367
1,0.1906738281,0.1185302734
2,0.2860107422,0.1777954102
3,0.3813476563,0.2370605469
4,0.4766845703,0.2963256836
5,0.5720214844,0.3555908203
6,0.6673583984,0.4148559570
7,0.7626953125,0.4741210938
8,0.8699340820,0.5333862305
9,0.9771728516,0.5926513672
10,1.0844116211,0.6519165039
11,1.1916503906,0.7111816406
12,1.2988891602,0.7704467773
13,1.4061279297,0.8370971680
14,1.5133666992,0.9037475586
15,1.6206054688,0.9703979492
16,1.7278442383,1.0370483398
17,1.8350830078,1.1036987305
18,1.9423217773,1.1703491211
19,2.0495605469,1.2369995117
20,2.1567993164,1.3036499023
21,2.2640380859,1.3703002930
22,2.3712768555,1.4369506836
23,2.4785156250,1.5036010742
24,2.5857543945,1.5702514648
25,2.6929931641,1.6369018555
26,2.8002319336,1.7035522461
27,2.9074707031,1.7702026367
28,3.0147094727,1.8368530273
29,3.1219482422,1.9035034180
30,3.2291870117,1.9701538086
31,3.3364257813,2.0368041992
32,3.4436645508,2.1034545898
33,3.5509033203,2.1701049805
34,3.6462402344,2.2367553711
35,3.7415771484,2.3034057617
36,3.8369140625,2.3700561523
37,3.9322509766,2.4367065430
38,4.0275878906,2.5033569336
39,4.1229248047,2.5700073242
40,4.2182617188,2.6366577148
41,4.3135986328,2.7033081055
42,4.6472167969,2.7699584961
43,4.9808349609,2.8366088867
44,5.3144531250,2.9032592773
45,5.6480712891,2.9699096680
46,5.9816894531,3.0365600586
47,6.3153076172,3.1032104492
48,6.6489257813,3.1698608398
49,6.9825439453,3.2365112305
50,7.3161621094,3.3031616211
51,7.6497802734,3.3698120117
52,7.9833984375,3.4364624023
53,8.3170166016,3.5031127930
54,8.6506347656,3.5697631836
55,8.9842529297,3.6290283203
56,9.3178710938,3.6882934570
57,9.6514892578,3.7475585938
58,9.9851074219,3.8068237305
59,10.3187255859,3.8660888672
60,10.6404418945,3.9253540039
61,10.9621582031,3.9846191406
62,11.2838745117,4.0438842773
63,11.6055908203,4.1031494141
64,11.9273071289,4.1624145508
65,12.2490234375,4.2216796875
66,12.5707397461,4.2809448242
67,12.8924560547,4.3402099609
68,13.0473632813,4.3994750977
69,13.2022705078,4.6068725586
70,13.3571777344,4.8142700195
71,13.5120849609,5.0216674805
72,13.6669921875,5.2290649414
