index,value0,value1
0,0.0476684570,0.0296020508
1,0.0953369141,0.0592041016
2,0.1430053711,0.0888061523
3,0.1906738281,0.1184082031
4,0.2383422852,0.1480102539
5,0.2860107422,0.1776123047
6,0.3336791992,0.2072143555
7,0.3813476563,0.2368164063
8,0.4290161133,0.2664184570
9,0.4766845703,0.2960205078
10,0.5243530273,0.3256225586
11,0.5720214844,0.3552246094
12,0.6196899414,0.3848266602
13,0.6673583984,0.4144287109
14,0.7150268555,0.4440307617
15,0.7626953125,0.4736328125
16,0.8162841797,0.5032348633
17,0.8698730469,0.5328369141
18,0.9234619141,0.5624389648
19,0.9770507813,0.5920410156
20,1.0306396484,0.6216430664
21,1.0842285156,0.6512451172
22,1.1378173828,0.6808471680
23,1.1914062500,0.7104492188
24,1.2449951172,0.7400512695
25,1.2985839844,0.7696533203
26,1.3521728516,0.8029785156
27,1.4057617188,0.8363037109
28,1.4593505859,0.8696289063
29,1.5129394531,0.9029541016
30,1.5665283203,0.9362792969
31,1.6201171875,0.9696044922
32,1.6737060547,1.0029296875
33,1.7272949219,1.0362548828
34,1.7808837891,1.0695800781
35,1.8344726563,1.1029052734
36,1.8880615234,1.1362304688
37,1.9416503906,1.1695556641
38,1.9952392578,1.2028808594
39,2.0488281250,1.2362060547
40,2.1024169922,1.2695312500
41,2.1560058594,1.3028564453
42,2.2095947266,1.3361816406
43,2.2631835938,1.3695068359
44,2.3167724609,1.4028320313
45,2.3703613281,1.4361572266
46,2.4239501953,1.4694824219
47,2.4775390625,1.5028076172
48,2.5311279297,1.5361328125
49,2.5847167969,1.5694580078
50,2.6383056641,1.6027832031
51,2.6918945313,1.6361083984
52,2.7454833984,1.6694335938
53,2.7990722656,1.7027587891
54,2.8526611328,1.7360839844
55,2.9062500000,1.7694091797
56,2.9598388672,1.8027343750
57,3.0134277344,1.8360595703
58,3.0670166016,1.8693847656
59,3.1206054688,1.9027099609
60,3.1741943359,1.9360351563
61,3.2277832031,1.9693603516
62,3.2813720703,2.0026855469
63,3.3349609375,2.0360107422
64,3.3885498047,2.0693359375
65,3.4421386719,2.1026611328
66,3.4957275391,2.1359863281
67,3.5433959961,2.1693115234
68,3.5910644531,2.2026367188
69,3.6387329102,2.2359619141
70,3.6864013672,2.2692871094
71,3.7340698242,2.3026123047
72,3.7817382813,2.3359375000
73,3.8294067383,2.3692626953
74,3.8770751953,2.4025878906
75,3.9247436523,2.4359130859
76,3.9724121094,2.4692382813
77,4.0200805664,2.5025634766
78,4.0677490234,2.5358886719
79,4.1154174805,2.5692138672
80,4.1630859375,2.6025390625
81,4.2107543945,2.6358642578
82,4.2584228516,2.6691894531
83,4.3060913086,2.7025146484
84,4.4729003906,2.7358398438
85,4.6397094727,2.7691650391
86,4.8065185547,2.8024902344
87,4.9733276367,2.8358154297
88,5.1401367188,2.8691406250
89,5.3069458008,2.9024658203
90,5.4737548828,2.9357910156
91,5.6405639648,2.9691162109
92,5.8073730469,3.0024414063
93,5.9741821289,3.0357666016
94,6.1409912109,3.0690917969
95,6.3078002930,3.1024169922
96,6.4746093750,3.1357421875
97,6.6414184570,3.1690673828
98,6.8082275391,3.2023925781
99,6.9750366211,3.2357177734
100,7.1418457031,3.2690429688
101,7.3086547852,3.3023681641
102,7.4754638672,3.3356933594
103,7.6422729492,3.3690185547
104,7.8090820313,3.4023437500
105,7.9758911133,3.4356689453
106,8.1427001953,3.4689941406
107,8.3095092773,3.5023193359
108,8.4763183594,3.5356445313
109,8.6431274414,3.5652465820
110,8.8099365234,3.5948486328
111,8.9767456055,3.6244506836
112,9.1435546875,3.6540527344
113,9.3103637695,3.6836547852
114,9.4771728516,3.7132568359
115,9.6439819336,3.7428588867
116,9.8107910156,3.7724609375
117,9.9776000977,3.8020629883
118,10.1444091797,3.8316650391
119,10.3052368164,3.8612670898
120,10.4660644531,3.8908691406
121,10.6268920898,3.9204711914
122,10.7877197266,3.9500732422
123,10.9485473633,3.9796752930
124,11.1093750000,4.0092773438
125,11.2702026367,4.0388793945
126,11.4310302734,4.0684814453
127,11.5918579102,4.0980834961
128,11.7526855469,4.1276855469
129,11.9135131836,4.1572875977
130,12.0743408203,4.1868896484
131,12.2351684570,4.2164916992
132,12.3959960938,4.2460937500
133,12.5568237305,4.2756958008
134,12.7176513672,4.3052978516
135,12.8784790039,4.3348999023
136,12.9559326172,4.3645019531
137,13.0333862305,4.4682006836
138,13.1108398438,4.5718994141
139,13.1882934570,4.6755981445
140,13.2657470703,4.7792968750
141,13.3432006836,4.8829956055
142,13.4206542969,4.9866943359
143,13.4981079102,5.0903930664
144,13.5755615234,5.1940917969
145,13.6530151367,5.2977905273
146,13.7304687500,5.4014892578
147,13.8079223633,5.5051879883
148,13.8853759766,5.6088867188
149,13.9628295898,5.7125854492
150,14.0402832031,5.8162841797
151,14.1177368164,5.9199829102
152,14.1951904297,6.0236816406
153,14.2726440430,6.1273803711
154,14.3500976563,6.2310791016
155,14.4275512695,6.3347778320
156,14.5050048828,6.4384765625
157,14.5824584961,6.5421752930
158,14.6599121094,6.6458740234
159,14.7373657227,6.7495727539
160,14.8148193359,6.8532714844
161,14.8922729492,6.9569702148
162,14.9697265625,7.0606689453
163,15.0471801758,7.1643676758
164,15.1246337891,7.2680664063
165,15.2020874023,7.3717651367
166,15.2795410156,7.4754638672
167,15.3569946289,7.5791625977
168,15.4344482422,7.6828613281
169,15.5119018555,7.7865600586
170,15.5893554688,7.8902587891
171,15.6668090820,7.9939575195
172,15.7442626953,8.0976562500
173,15.8217163086,8.2013549805
174,15.8991699219,8.3050537109
175,15.9766235352,8.4087524414
176,16.0540771484,8.5124511719
177,16.1315307617,8.6161499023
178,16.2089843750,8.7198486328
179,16.2864379883,8.8235473633
180,16.3638916016,8.9272460938
181,16.4413452148,9.0309448242
182,16.5187988281,9.1346435547
183,16.5962524414,9.2383422852
184,16.6737060547,9.3420410156
185,16.7511596680,9.4457397461
186,16.8286132813,9.5494384766
187,16.9060668945,9.6531372070
188,16.9775390625,9.7568359375
189,17.0490112305,9.8605346680
190,17.1204833984,9.9642333984
191,17.1919555664,10.0679321289
192,17.2634277344,10.1679077148
193,17.3348999023,10.2678833008
194,17.4063720703,10.3678588867
195,17.4778442383,10.4678344727
196,17.5493164063,10.5678100586
197,17.6207885742,10.6677856445
198,17.6922607422,10.7677612305
