index,value0,value1
0,0.0000000000,0.0000000000
1,0.0000000000,0.0000000000
2,0.0000000000,0.0000000000
3,0.0000000000,0.0000000000
4,0.0000000000,0.0000000000
5,0.0000000000,0.0000000000
6,0.0871582031,0.0845947266
7,0.1743164063,0.1691894531
8,0.2614746094,0.2537841797
9,0.3486328125,0.3383789063
10,0.4357910156,0.4229736328
11,0.5229492188,0.5075683594
12,0.6101074219,0.5921630859
13,0.6972656250,0.6767578125
14,0.7844238281,0.7613525391
15,0.8715820313,0.8459472656
16,0.9587402344,0.9305419922
17,1.0458984375,1.0151367188
18,1.1330566406,1.0997314453
19,1.2202148438,1.1843261719
20,1.3218994141,1.2689208984
21,1.4235839844,1.3676147461
22,1.5252685547,1.4663085938
23,1.6269531250,1.5650024414
24,1.7286376953,1.6636962891
25,1.8303222656,1.7623901367
26,1.9320068359,1.8610839844
27,2.0336914063,1.9597778320
28,2.5567016602,2.4674072266
29,3.0797119141,2.9750366211
30,3.6027221680,3.4826660156
31,4.1257324219,3.9902954102
32,4.6487426758,4.4979248047
33,5.1717529297,5.0055541992
34,5.6947631836,5.5131835938
35,6.2177734375,6.0208129883
36,6.7407836914,6.5284423828
37,7.2637939453,7.0360717773
38,7.7868041992,7.5437011719
39,8.3098144531,8.0513305664
40,8.8328247070,8.5589599609
41,9.3558349609,9.0665893555
42,9.7736816406,9.4138183594
43,9.9176025391,9.5577392578
44,10.0615234375,9.7016601563
45,10.2054443359,9.8455810547
46,10.3493652344,9.9895019531
47,10.4932861328,10.1334228516
48,10.6372070313,10.2773437500
49,10.7811279297,10.4212646484
50,10.9250488281,10.5651855469
51,11.0689697266,10.7091064453
52,11.2128906250,10.8530273438
53,11.3568115234,10.9969482422
54,11.5007324219,11.1408691406
55,11.6446533203,11.2847900391
56,11.7885742188,11.4287109375
57,11.8650512695,11.4287109375
58,11.8650512695,11.4287109375
59,11.8650512695,11.4287109375
60,11.8650512695,11.4287109375
61,11.8650512695,11.4287109375
62,11.8650512695,11.4287109375
63,11.8650512695,11.4287109375
64,11.8650512695,11.4287109375
65,11.9938354492,11.5582275391
66,12.1226196289,11.6877441406
67,12.2514038086,11.8172607422
68,12.3801879883,11.9467773438
69,12.5089721680,12.0762939453
70,12.6377563477,12.2058105469
71,12.7665405273,12.3353271484
72,12.9096679688,12.4792480469
73,13.0527954102,12.6231689453
74,13.1959228516,12.7670898438
75,13.3390502930,12.9110107422
76,13.4821777344,13.0549316406
77,13.6253051758,13.1988525391
78,13.7684326172,13.3427734375
79,13.9115600586,13.4866943359
80,14.0546875000,13.6306152344
81,14.1978149414,13.7745361328
82,14.3409423828,13.9184570313
83,14.4840698242,14.0623779297
84,14.6271972656,14.2062988281
85,14.7703247070,14.3502197266
86,14.9134521484,14.4941406250
87,15.1710815430,14.6921997070
88,15.4287109375,14.9459838867
89,15.6863403320,15.1997680664
90,15.9439697266,15.4535522461
91,16.2015991211,15.7073364258
92,16.4592285156,15.9611206055
93,16.7352294922,16.2149047852
94,17.0112304688,16.4686889648
95,17.2872314453,16.7224731445
96,17.5632324219,16.9903564453
97,17.8392333984,17.2582397461
98,18.1152343750,17.5261230469
99,18.3912353516,17.7940063477
100,18.6202392578,18.0618896484
101,18.8921508789,18.2222900391
102,18.8921508789,18.2222900391
103,18.8921508789,18.2222900391
104,18.8921508789,18.2222900391
105,18.8921508789,18.2222900391
106,18.8921508789,18.2222900391
107,18.8921508789,18.2222900391
108,18.8921508789,18.2222900391
109,18.8921508789,18.2222900391
110,18.8921508789,18.2222900391
111,18.8921508789,18.2222900391
112,18.8921508789,18.2222900391
113,18.8921508789,18.2222900391
114,18.8921508789,18.2222900391
115,18.8921508789,18.2222900391
116,19.0808715820,18.4525756836
117,19.3126831055,18.5976562500
118,19.5444946289,18.8232421875
119,19.7763061523,19.0488281250
120,20.0081176758,19.2744140625
121,20.2399291992,19.5000000000
122,20.4717407227,19.7255859375
123,20.7035522461,19.9511718750
124,20.9353637695,20.1767578125
125,21.1671752930,20.4023437500
126,21.3989868164,20.6279296875
127,21.6307983398,20.8535156250
128,21.8626098633,21.0791015625
129,22.0944213867,21.3046875000
130,22.2379150391,21.5302734375
131,22.2946777344,21.6102905273
132,22.2946777344,21.6102905273
133,22.2946777344,21.6102905273
134,22.2946777344,21.6102905273
135,22.2946777344,21.6102905273
136,22.2946777344,21.6102905273
137,22.2946777344,21.6765747070
138,22.3239746094,21.7629394531
139,22.4100341797,21.8493041992
140,22.4960937500,21.9356689453
141,22.5821533203,22.0220336914
142,22.6682128906,22.1083984375
143,22.7542724609,22.1947631836
144,22.8403320313,22.2811279297
145,22.9263916016,22.3674926758
146,23.0124511719,22.4538574219
147,23.0985107422,22.5402221680
148,23.1845703125,22.6265869141
149,23.2706298828,22.7129516602
150,23.3566894531,22.7993164063
151,23.4427490234,22.8856811523
152,23.5288085938,22.9720458984
153,23.6292114258,23.0728149414
154,23.7296142578,23.1657714844
155,23.8300170898,23.2503662109
156,23.9304199219,23.3490600586
157,24.0308227539,23.4477539063
158,24.1312255859,23.5464477539
159,24.6297607422,23.6451416016
160,25.1513061523,23.7438354492
161,25.6728515625,23.8425292969
162,26.1943969727,23.9412231445
163,26.7159423828,24.4488525391
164,27.2382202148,24.9564819336
165,27.7612304688,25.4641113281
166,28.2842407227,25.9717407227
167,28.8072509766,26.4793701172
168,29.3302612305,26.9869995117
169,29.8532714844,27.4946289063
170,30.3762817383,28.0022583008
171,30.8992919922,28.5098876953
172,31.4223022461,29.0175170898
173,31.9049072266,29.5251464844
174,32.0496826172,30.0327758789
175,32.1944580078,30.5404052734
176,32.3392333984,31.0480346680
177,32.4840087891,31.4197387695
178,32.6287841797,31.5612792969
179,32.7735595703,31.7028198242
180,32.9183349609,31.8443603516
181,33.0631103516,31.9859008789
182,33.2078857422,32.1274414063
183,33.3526611328,32.2689819336
184,33.4974365234,32.4105224609
185,33.6422119141,32.5520629883
186,33.7869873047,32.6936035156
187,33.9317626953,32.8351440430
188,33.9907226563,32.9766845703
189,34.1312255859,33.1182250977
190,34.1312255859,33.1196899414
191,34.1312255859,33.1196899414
192,34.1312255859,33.1196899414
193,34.1312255859,33.1196899414
194,34.1312255859,33.1196899414
195,34.1312255859,33.1196899414
196,34.1923828125,33.2492065430
197,34.3226928711,33.3787231445
198,34.4530029297,33.4013061523
199,34.5833129883,33.4013061523
200,34.7136230469,33.5286865234
201,34.8439331055,33.6560668945
202,34.9742431641,33.7834472656
203,35.1190185547,33.9108276367
204,35.2637939453,34.0382080078
205,35.4085693359,34.1655883789
206,35.5533447266,34.2929687500
207,35.6981201172,34.4345092773
208,35.8428955078,34.5760498047
209,35.9876708984,34.7175903320
210,36.1324462891,34.8591308594
211,36.2772216797,35.0006713867
212,36.4219970703,35.1422119141
213,36.5667724609,35.2837524414
214,36.7115478516,35.4252929688
215,36.8563232422,35.5668334961
216,37.0010986328,35.7083740234
217,37.2616577148,35.8499145508
218,37.5222167969,35.9914550781
219,37.7827758789,36.1329956055
220,38.0433349609,36.2745361328
221,38.3038940430,36.4160766602
222,38.5644531250,36.6708374023
223,38.8250122070,36.9255981445
224,39.0855712891,37.1803588867
225,39.3605957031,37.4349975586
226,39.6356201172,37.6887817383
227,39.9106445313,37.9425659180
228,40.1856689453,38.1963500977
229,40.4606933594,38.4501342773
230,40.7357177734,38.7039184570
231,41.0107421875,38.9718017578
232,41.0107421875,39.2396850586
233,41.1473388672,39.5075683594
234,41.1473388672,39.7754516602
235,41.1473388672,39.9718017578
236,41.1473388672,39.9718017578
237,41.1473388672,39.9718017578
238,41.1473388672,39.9718017578
239,41.1473388672,39.9718017578
240,41.1473388672,39.9718017578
241,41.1473388672,39.9718017578
242,41.1473388672,39.9718017578
243,41.1473388672,39.9718017578
244,41.1473388672,39.9718017578
245,41.1473388672,39.9718017578
246,41.2423706055,40.1579589844
247,41.4739990234,40.1579589844
248,41.7056274414,40.3033447266
249,41.9372558594,40.3366088867
250,42.1688842773,40.3366088867
251,42.4005126953,40.3366088867
252,42.6321411133,40.5630493164
253,42.8637695313,40.7894897461
254,43.0953979492,41.0159301758
255,43.3270263672,41.2423706055
256,43.5586547852,41.4688110352
257,43.7902832031,41.6952514648
258,44.0219116211,41.9216918945
259,44.2535400391,42.1481323242
260,44.4851684570,42.3745727539
261,44.4851684570,42.6010131836
262,44.4851684570,42.8274536133
263,44.5670776367,43.0538940430
264,44.5670776367,43.2205810547
265,44.5670776367,43.2205810547
266,44.5670776367,43.2205810547
267,44.5670776367,43.2205810547
268,44.5720214844,43.3076171875
269,44.6588745117,43.3819580078
270,44.7457275391,43.4683227539
271,44.8325805664,43.5546875000
272,44.9194335938,43.6410522461
273,45.0062866211,43.7274169922
274,45.0931396484,43.8137817383
275,45.1799926758,43.9001464844
276,45.2668457031,43.9865112305
277,45.3536987305,44.0728149414
278,45.4405517578,44.1577148438
279,45.5274047852,44.2426147461
280,45.6142578125,44.3275146484
281,45.7011108398,44.4124145508
282,45.7879638672,44.4973144531
283,45.8892822266,44.5822143555
284,45.9906005859,44.6671142578
285,46.0919189453,44.7520141602
286,46.1932373047,44.8369140625
