index,value0,value1
0,0.0808105469,0.0502319336
1,0.1616210938,0.1004638672
2,0.2424316406,0.1506958008
3,0.3232421875,0.2009277344
4,0.4040527344,0.2511596680
5,0.4848632813,0.3013916016
6,0.5656738281,0.3516235352
7,0.6464843750,0.4018554688
8,0.7388305664,0.4520874023
9,0.8311767578,0.5023193359
10,0.9235229492,0.5525512695
11,1.0158691406,0.6027832031
12,1.1082153320,0.6530151367
13,1.2005615234,0.7032470703
14,1.2929077148,0.7606201172
15,1.3852539063,0.8179931641
16,1.4776000977,0.8753662109
17,1.5584106445,0.9327392578
18,1.6392211914,0.9901123047
19,1.7200317383,1.0474853516
20,1.8008422852,1.1048583984
21,1.8816528320,1.1622314453
22,1.9624633789,1.2196044922
23,2.0432739258,1.2769775391
24,2.1240844727,1.3343505859
25,2.2048950195,1.3917236328
26,2.2857055664,1.4490966797
27,2.3665161133,1.5064697266
28,2.4473266602,1.5567016602
29,2.5281372070,1.6069335938
30,2.6089477539,1.6571655273
31,2.6897583008,1.7073974609
32,2.7705688477,1.7576293945
33,2.8513793945,1.8078613281
34,2.9321899414,1.8580932617
35,3.1514892578,1.9083251953
36,3.3707885742,1.9585571289
37,3.5900878906,2.0087890625
38,3.8093872070,2.0590209961
39,4.0286865234,2.1092529297
40,4.2479858398,2.1594848633
41,4.4672851563,2.2097167969
42,4.6865844727,2.2599487305
43,4.9058837891,2.3101806641
44,5.1367187500,2.3604125977
45,5.3675537109,2.4106445313
46,5.5983886719,2.4608764648
47,5.8292236328,2.5111083984
48,6.0600585938,2.5613403320
49,6.2908935547,2.6115722656
50,6.5217285156,2.6618041992
51,6.7525634766,2.7120361328
52,6.9833984375,2.7622680664
53,7.2026977539,2.8125000000
54,7.4219970703,2.8627319336
55,7.6412963867,2.9129638672
56,7.8605957031,2.9631958008
57,8.0798950195,3.0994873047
58,8.2991943359,3.2357788086
59,8.5184936523,3.3720703125
60,8.7377929688,3.5083618164
61,8.9570922852,3.6446533203
62,9.1763916016,3.7809448242
63,9.3956909180,3.9172363281
64,9.6149902344,4.0535278320
65,9.8342895508,4.1898193359
66,10.0535888672,4.3261108398
67,10.2728881836,4.4624023438
68,10.4921875000,4.5986938477
69,10.7114868164,4.7349853516
70,10.9423217773,4.8712768555
71,11.1731567383,5.0147705078
72,11.4039916992,5.1582641602
73,11.6348266602,5.3017578125
74,11.8656616211,5.4452514648
75,12.0964965820,5.5887451172
76,12.3273315430,5.7322387695
77,12.5581665039,5.8757324219
78,12.7890014648,6.0192260742
79,13.0313720703,6.1627197266
80,13.2737426758,6.3062133789
81,13.5161132813,6.4497070313
82,13.7584838867,6.5932006836
83,14.0008544922,6.7366943359
84,14.2432250977,6.8801879883
85,14.4855957031,7.0164794922
86,14.7279663086,7.1527709961
87,14.9703369141,7.2890625000
88,15.2011718750,7.4253540039
89,15.4320068359,7.5616455078
90,15.6628417969,7.6979370117
91,15.8936767578,7.8342285156
92,16.1245117188,7.9705200195
93,16.3553466797,8.1068115234
94,16.5861816406,8.2431030273
95,16.8170166016,8.3793945313
96,17.0478515625,8.5156860352
97,17.2786865234,8.6519775391
98,17.5095214844,8.7882690430
99,17.7403564453,8.9245605469
100,17.9711914063,9.0608520508
101,18.2020263672,9.1971435547
102,18.4328613281,9.3334350586
103,18.6636962891,9.4697265625
104,18.8945312500,9.6060180664
105,19.1253662109,9.7423095703
106,19.3677368164,9.8786010742
107,19.6101074219,10.0148925781
108,19.8524780273,10.1511840820
109,20.0948486328,10.2874755859
110,20.3372192383,10.4237670898
111,20.5795898438,10.5600585938
112,20.8219604492,10.6963500977
113,21.0643310547,10.8326416016
114,21.3067016602,10.9761352539
115,21.5375366211,11.1196289063
116,21.7683715820,11.2631225586
117,21.9992065430,11.4066162109
118,22.2300415039,11.5501098633
119,22.4608764648,11.6936035156
120,22.6917114258,11.8370971680
121,22.9225463867,11.9805908203
122,23.1533813477,12.1240844727
123,23.3842163086,12.2675781250
124,23.6150512695,12.4110717773
125,23.8458862305,12.5545654297
126,24.0767211914,12.6980590820
127,24.3075561523,12.8415527344
128,24.5383911133,12.9922485352
129,24.7692260742,13.1429443359
130,25.0000610352,13.2936401367
131,25.2308959961,13.4443359375
132,25.4732666016,13.5950317383
133,25.7156372070,13.7457275391
134,25.9580078125,13.8964233398
135,26.2003784180,14.0471191406
136,26.4427490234,14.1978149414
137,26.6851196289,14.3485107422
138,26.9274902344,14.4992065430
139,27.1698608398,14.6499023438
140,27.4122314453,14.8005981445
141,27.6430664063,14.9512939453
142,27.8739013672,15.0947875977
143,28.1047363281,15.2382812500
144,28.3355712891,15.3817749023
145,28.5664062500,15.5252685547
146,28.7972412109,15.6687622070
147,29.0280761719,15.8122558594
148,29.2589111328,15.9557495117
149,29.4897460938,16.0992431641
150,29.7205810547,16.2427368164
151,29.9514160156,16.3862304688
152,30.1822509766,16.5297241211
153,30.4130859375,16.6732177734
154,30.6439208984,16.8167114258
155,30.8747558594,16.9602050781
156,31.1055908203,17.1036987305
157,31.3364257813,17.2471923828
158,31.5672607422,17.3906860352
159,31.7865600586,17.5341796875
160,32.0058593750,17.6776733398
161,32.2251586914,17.8211669922
162,32.4444580078,17.9646606445
163,32.6637573242,18.1081542969
164,32.8830566406,18.2516479492
165,33.1023559570,18.3951416016
166,33.3216552734,18.5386352539
167,33.5409545898,18.6821289063
168,33.7717895508,18.8256225586
169,34.0026245117,18.9691162109
170,34.2334594727,19.1126098633
171,34.4642944336,19.2633056641
172,34.6951293945,19.4140014648
173,34.9259643555,19.5646972656
174,35.1567993164,19.7153930664
175,35.3876342773,19.8660888672
176,35.6184692383,20.0167846680
177,35.8493041992,20.1674804688
178,36.0801391602,20.3181762695
179,36.3109741211,20.4688720703
180,36.5418090820,20.6195678711
181,36.7726440430,20.7702636719
182,37.0034790039,20.9209594727
183,37.2343139648,21.0716552734
184,37.4651489258,21.2223510742
185,37.6959838867,21.3658447266
186,37.9268188477,21.5093383789
187,38.1576538086,21.6528320313
188,38.3884887695,21.7963256836
189,38.6193237305,21.9398193359
190,38.8501586914,22.0833129883
191,39.0809936523,22.2268066406
192,39.3118286133,22.3703002930
193,39.5426635742,22.5137939453
194,39.7734985352,22.6572875977
195,40.0043334961,22.8007812500
196,40.2351684570,22.9442749023
197,40.4660034180,23.0877685547
198,40.6968383789,23.2312622070
199,40.9276733398,23.3747558594
200,41.1585083008,23.5182495117
201,41.3893432617,23.6617431641
202,41.6201782227,23.8052368164
203,41.8510131836,23.9487304688
204,42.0818481445,24.0922241211
205,42.3126831055,24.2357177734
206,42.5435180664,24.3792114258
207,42.7743530273,24.5227050781
208,43.0051879883,24.6661987305
209,43.2360229492,24.8096923828
210,43.4668579102,24.9531860352
211,43.6976928711,25.0966796875
212,43.9631347656,25.2401733398
213,44.2285766602,25.3908691406
214,44.4940185547,25.5415649414
215,44.7594604492,25.6922607422
216,45.0249023438,25.8429565430
217,45.2903442383,25.9936523438
218,45.5557861328,26.1443481445
219,45.8212280273,26.2950439453
220,46.0866699219,26.4457397461
221,46.3637084961,26.5964355469
222,46.6407470703,26.7471313477
223,46.9177856445,26.8978271484
224,47.1948242188,27.0485229492
225,47.4718627930,27.1992187500
226,47.7489013672,27.3499145508
227,48.0259399414,27.5006103516
228,48.3029785156,27.6441040039
229,48.5800170898,27.7875976563
230,48.8454589844,27.9310913086
231,49.1109008789,28.0745849609
232,49.3763427734,28.2180786133
233,49.6417846680,28.3615722656
234,49.9072265625,28.5050659180
235,50.1726684570,28.6485595703
236,50.4381103516,28.7920532227
237,50.7035522461,28.9355468750
238,50.9689941406,29.0790405273
239,51.2344360352,29.2225341797
240,51.4998779297,29.3660278320
241,51.7653198242,29.5095214844
242,52.0307617188,29.6530151367
243,52.2962036133,29.7965087891
244,52.5616455078,29.9400024414
245,52.8270874023,30.0834960938
246,53.0925292969,30.2269897461
247,53.3579711914,30.3704833984
248,53.5772705078,30.5139770508
249,53.7965698242,30.6574707031
250,54.0158691406,30.8009643555
251,54.2351684570,30.9444580078
252,54.4544677734,31.0879516602
253,54.6737670898,31.2314453125
254,54.8930664063,31.3749389648
255,55.1123657227,31.5184326172
256,55.3316650391,31.6547241211
257,55.5509643555,31.7910156250
258,55.7702636719,31.9273071289
259,55.9895629883,32.0635986328
260,56.2088623047,32.1998901367
261,56.4281616211,32.3361816406
262,56.6474609375,32.4724731445
263,56.8667602539,32.6087646484
264,57.0860595703,32.7450561523
265,57.3053588867,32.8813476563
266,57.5246582031,33.0176391602
267,57.7439575195,33.1539306641
268,57.9632568359,33.2902221680
269,58.1825561523,33.4265136719
270,58.4018554688,33.5700073242
271,58.6211547852,33.7135009766
272,58.8404541016,33.8569946289
273,59.0597534180,34.0004882813
274,59.2790527344,34.1439819336
275,59.4983520508,34.2874755859
276,59.7176513672,34.4309692383
277,59.9369506836,34.5744628906
278,60.1562500000,34.7179565430
279,60.3755493164,34.8614501953
280,60.5948486328,35.0049438477
281,60.8141479492,35.1484375000
282,61.0334472656,35.2919311523
283,61.2296752930,35.4354248047
284,61.4259033203,35.5789184570
285,61.6221313477,35.7224121094
286,61.8183593750,35.8659057617
287,62.0145874023,36.0093994141
288,62.2108154297,36.1528930664
289,62.4070434570,36.2963867188
290,62.6032714844,36.4398803711
291,62.7994995117,36.5833740234
292,63.0187988281,36.7268676758
293,63.2380981445,36.8703613281
294,63.4573974609,37.0138549805
295,63.6766967773,37.1573486328
296,63.8959960938,37.3008422852
297,64.1152954102,37.4443359375
298,64.3345947266,37.5878295898
299,64.5538940430,37.7313232422
300,64.7731933594,37.8748168945
301,64.9924926758,38.0183105469
302,65.2117919922,38.1618041992
303,65.4310913086,38.3052978516
304,65.6503906250,38.4487915039
305,65.8696899414,38.5922851563
306,66.0889892578,38.7357788086
307,66.3082885742,38.8792724609
308,66.5275878906,39.0227661133
