index,value0,value1
0,870.0000000000,879.0000000000
1,869.9191894531,878.9497680664
2,869.8383789062,878.8995361328
3,869.7575683594,878.8493041992
4,869.6767578125,878.7990722656
5,869.5959472656,878.7488403320
6,869.5151367188,878.6986083984
7,869.4343261719,878.6483764648
8,869.3535156250,878.5981445312
9,869.2611694336,878.5479125977
10,869.1688232422,878.4976806641
11,869.0764770508,878.4474487305
12,868.9841308594,878.3972167969
13,868.8917846680,878.3469848633
14,868.7994384766,878.2967529297
15,868.7070922852,878.2393798828
16,868.6147460938,878.1820068359
17,868.5223999023,878.1246337891
18,868.4415893555,878.0672607422
19,868.3607788086,878.0098876953
20,868.2799682617,877.9525146484
21,868.1991577148,877.8951416016
22,868.1183471680,877.8377685547
23,868.0375366211,877.7803955078
24,867.9567260742,877.7230224609
25,867.8759155273,877.6656494141
26,867.7951049805,877.6082763672
27,867.7142944336,877.5509033203
28,867.6334838867,877.4935302734
29,867.5526733398,877.4432983398
30,867.4718627930,877.3930664062
31,867.3910522461,877.3428344727
32,867.3102416992,877.2926025391
33,867.2294311523,877.2423706055
34,867.1486206055,877.1921386719
35,867.0678100586,877.1419067383
36,866.8485107422,877.0916748047
37,866.6292114258,877.0414428711
38,866.4099121094,876.9912109375
39,866.1906127930,876.9409790039
40,865.9713134766,876.8907470703
41,865.7520141602,876.8405151367
42,865.5327148438,876.7902832031
43,865.3134155273,876.7400512695
44,865.0941162109,876.6898193359
45,864.8632812500,876.6395874023
46,864.6324462891,876.5893554688
47,864.4016113281,876.5391235352
48,864.1707763672,876.4888916016
49,863.9399414062,876.4386596680
50,863.7091064453,876.3884277344
51,863.4782714844,876.3381958008
52,863.2474365234,876.2879638672
53,863.0166015625,876.2377319336
54,862.7973022461,876.1875000000
55,862.5780029297,876.1372680664
56,862.3587036133,876.0870361328
57,862.1394042969,876.0368041992
58,861.9201049805,875.9005126953
59,861.7008056641,875.7642211914
60,861.4815063477,875.6279296875
61,861.2622070312,875.4916381836
62,861.0429077148,875.3553466797
63,860.8236083984,875.2190551758
64,860.6043090820,875.0827636719
65,860.3850097656,874.9464721680
66,860.1657104492,874.8101806641
67,859.9464111328,874.6738891602
68,859.7271118164,874.5375976562
69,859.5078125000,874.4013061523
70,859.2885131836,874.2650146484
71,859.0576782227,874.1287231445
72,858.8268432617,873.9852294922
73,858.5960083008,873.8417358398
74,858.3651733398,873.6982421875
75,858.1343383789,873.5547485352
76,857.9035034180,873.4112548828
77,857.6726684570,873.2677612305
78,857.4418334961,873.1242675781
79,857.2109985352,872.9807739258
80,856.9686279297,872.8372802734
81,856.7262573242,872.6937866211
82,856.4838867188,872.5502929688
83,856.2415161133,872.4067993164
84,855.9991455078,872.2633056641
85,855.7567749023,872.1198120117
86,855.5144042969,871.9835205078
87,855.2720336914,871.8472290039
88,855.0296630859,871.7109375000
89,854.7988281250,871.5746459961
90,854.5679931641,871.4383544922
91,854.3371582031,871.3020629883
92,854.1063232422,871.1657714844
93,853.8754882812,871.0294799805
94,853.6446533203,870.8931884766
95,853.4138183594,870.7568969727
96,853.1829833984,870.6206054688
97,852.9521484375,870.4843139648
98,852.7213134766,870.3480224609
99,852.4904785156,870.2117309570
100,852.2596435547,870.0754394531
101,852.0288085938,869.9391479492
102,851.7979736328,869.8028564453
103,851.5671386719,869.6665649414
104,851.3363037109,869.5302734375
