index,value
0,780.00000
1,779.54999
2,779.09998
3,778.64996
4,778.19995
5,777.74994
6,777.29993
7,776.84991
8,776.39990
9,775.94989
10,775.49988
11,775.04987
12,774.59985
13,774.14984
14,773.69983
15,773.24982
16,772.79980
17,772.34979
18,771.89978
19,771.44977
20,770.99976
21,770.54974
22,770.09973
23,769.64972
24,769.19971
25,768.74969
26,768.29968
27,767.84967
28,767.39966
29,766.94965
30,766.49963
31,766.04962
32,765.59961
33,765.14960
34,764.69958
35,764.24957
36,763.79956
37,763.34955
38,762.89954
39,762.44952
40,761.99951
41,761.54950
42,761.09949
43,760.64948
44,760.19946
45,759.74945
46,759.29944
47,758.84943
48,758.39941
49,757.94940
50,757.49939
51,757.04938
52,756.59937
53,756.14935
54,755.69934
55,755.24933
56,754.79932
57,754.34930
58,753.89929
59,753.44928
60,752.99927
61,752.54926
62,752.09924
63,751.64923
64,751.19922
65,750.74921
66,750.29919
67,749.84918
68,749.39917
69,748.94916
70,748.49915
71,748.04913
72,747.59912
73,747.14911
74,746.69910
75,746.24908
76,745.79907
77,745.34906
78,744.89905
79,744.44904
80,743.99902
81,743.54901
82,743.09900
83,742.64899
84,742.19897
85,741.74896
86,741.29895
87,740.84894
88,740.39893
89,739.94891
90,739.49890
91,739.04889
92,738.59888
93,738.14886
94,737.69885
95,737.24884
96,736.79883
97,736.34882
98,735.89880
99,735.44879
100,734.99878
101,734.54877
102,734.09875
103,733.64874
104,733.19873
105,732.74872
106,732.29871
107,731.84869
108,731.39868
109,730.94867
110,730.49866
111,730.04865
112,729.59863
113,729.14862
114,728.69861
115,728.24860
116,727.79858
117,727.34857
118,726.89856
119,726.44855
120,725.99854
121,725.54852
122,725.09851
123,724.64850
124,724.19849
125,723.74847
126,723.29846
127,722.84845
128,722.39844
129,721.94843
130,721.49841
131,721.04840
132,720.59839
133,720.14838
134,719.69836
135,719.24835
136,718.79834
137,718.34833
138,717.89832
139,717.44830
140,716.99829
141,716.54828
142,716.09827
143,715.64825
144,715.19824
145,714.74823
146,714.29822
147,713.84821
148,713.39819
149,712.94818
150,712.49817
151,712.04816
152,711.59814
153,711.14813
154,710.69812
155,710.24811
156,709.79810
157,709.34808
158,708.89807
159,708.44806
160,707.99805
161,707.54803
162,707.09802
163,706.64801
164,706.19800
165,705.74799
166,705.29797
167,704.84796
168,704.39795
169,703.94794
170,703.49792
171,703.04791
172,702.59790
173,702.14789
174,701.69788
175,701.24786
176,700.79785
177,700.34784
178,699.89783
179,699.44781
180,698.99780
181,698.54779
182,698.09778
183,697.64777
184,697.19775
185,696.74774
186,696.29773
187,695.84772
188,695.39771
189,694.94769
190,694.49768
191,694.04767
192,693.59766
193,693.14764
194,692.69763
195,692.24762
196,691.79761
197,691.34760
198,690.89758
199,690.44757
200,689.99756
201,689.54755
202,689.09753
203,688.64752
204,688.19751
205,687.74750
206,687.29749
207,686.84747
208,686.39746
209,685.94745
210,685.49744
211,685.04742
212,684.59741
213,684.14740
214,683.69739
215,683.24738
216,682.79736
217,682.34735
218,681.89734
219,681.44733
220,680.99731
221,680.54730
222,680.09729
223,679.64728
224,679.19727
225,678.74725
226,678.29724
227,677.84723
228,677.39722
229,676.94720
230,676.49719
231,676.04718
232,675.59717
233,675.14716
234,674.69714
235,674.24713
236,673.79712
237,673.34711
238,672.89709
239,672.44708
240,671.99707
241,671.54706
242,671.09705
243,670.64703
244,670.19702
245,669.74701
246,669.29700
247,668.84698
248,668.39697
249,667.94696
250,667.49695
251,667.04694
252,666.59692
253,666.14691
254,665.69690
255,665.24689
256,664.79688
257,664.34686
258,663.89685
259,663.44684
260,662.99683
261,662.54681
262,662.09680
263,661.64679
264,661.19678
265,660.74677
266,660.29675
267,659.84674
268,659.39673
269,658.94672
270,658.49670
271,658.04669
272,657.59668
273,657.14667
