index,value
0,845.00000
1,845.00000
2,845.00000
3,845.00000
4,845.00000
5,845.00000
6,845.00000
7,845.00000
8,845.00000
9,845.00000
10,845.00000
11,845.00000
12,845.00000
13,845.00000
14,845.00000
15,845.00000
16,845.00000
17,845.00000
18,845.00000
19,845.00000
20,845.00000
21,845.00000
22,845.00000
23,845.00000
24,845.00000
25,845.00000
26,845.00000
27,845.00000
28,845.00000
29,845.00000
30,845.00000
31,845.00000
32,845.00000
33,845.00000
34,845.00000
35,845.00000
36,845.00000
37,845.00000
38,845.00000
39,845.00000
40,845.00000
41,845.00000
42,845.00000
43,845.00000
44,845.00000
45,845.00000
46,845.00000
47,845.00000
48,845.00000
49,845.00000
50,845.00000
51,845.00000
52,845.00000
53,845.00000
54,845.00000
55,845.00000
56,845.00000
57,845.00000
58,845.00000
59,845.00000
60,845.00000
61,845.00000
62,845.00000
63,845.00000
64,845.00000
65,845.00000
66,845.00000
67,845.00000
68,845.00000
69,845.00000
70,845.00000
71,845.00000
72,845.00000
73,845.00000
74,845.00000
75,845.00000
76,845.00000
77,845.00000
78,845.00000
79,845.00000
80,845.00000
81,845.00000
82,845.00000
83,845.00000
84,845.00000
85,845.00000
86,845.00000
87,845.00000
88,845.00000
89,845.00000
90,845.00000
91,845.00000
92,845.00000
93,845.00000
94,845.00000
95,845.00000
96,845.00000
97,845.00000
98,845.00000
99,845.00000
100,845.00000
101,845.00000
102,845.00000
103,845.00000
104,845.00000
105,845.00000
106,845.00000
107,845.00000
108,845.00000
109,845.00000
110,845.00000
111,845.00000
112,845.00000
113,845.00000
114,845.00000
115,845.00000
116,845.00000
117,845.00000
118,845.00000
119,845.00000
120,845.00000
121,845.00000
122,845.00000
123,845.00000
124,845.00000
125,845.00000
126,845.00000
127,845.00000
128,845.00000
129,845.00000
130,845.00000
131,845.00000
132,845.00000
133,845.00000
134,845.00000
135,845.00000
136,845.00000
137,845.00000
138,845.00000
139,845.00000
140,845.00000
141,845.00000
142,845.00000
143,845.00000
144,845.00000
145,845.00000
146,845.00000
147,845.00000
148,845.00000
149,845.00000
150,845.00000
151,845.00000
152,845.00000
153,845.00000
154,845.00000
155,845.00000
156,845.00000
157,845.00000
158,845.00000
159,845.00000
160,845.00000
161,845.00000
162,845.00000
163,845.00000
164,845.00000
165,845.00000
166,845.00000
167,845.00000
168,845.00000
169,845.00000
170,845.00000
171,845.00000
172,845.00000
173,845.00000
174,845.00000
175,845.00000
176,845.00000
177,845.00000
178,845.00000
179,845.00000
180,845.00000
181,845.00000
182,845.00000
183,845.00000
184,845.00000
185,845.00000
186,845.00000
187,845.00000
188,845.00000
189,845.00000
190,845.00000
191,845.00000
192,845.00000
193,845.00000
194,845.00000
195,845.00000
196,845.00000
197,845.00000
198,845.00000
199,845.00000
200,845.00000
201,845.00000
202,845.00000
203,845.00000
204,845.00000
205,845.00000
206,845.00000
207,845.00000
208,845.00000
209,845.00000
210,845.00000
211,845.00000
212,845.00000
213,845.00000
214,845.00000
215,845.00000
216,845.00000
217,845.00000
218,845.00000
219,845.00000
220,845.00000
221,845.00000
222,845.00000
223,845.00000
224,845.00000
225,845.00000
226,845.00000
227,845.00000
228,845.00000
229,845.00000
230,845.00000
231,845.00000
232,845.00000
233,845.00000
234,845.00000
235,845.00000
236,845.00000
237,845.00000
238,845.00000
239,845.00000
240,845.00000
241,845.00000
242,845.00000
243,845.00000
244,845.00000
245,845.00000
246,845.00000
247,845.00000
248,845.00000
249,845.00000
250,845.00000
251,845.00000
252,845.00000
253,845.00000
254,845.00000
255,845.00000
256,845.00000
257,845.00000
258,845.00000
259,845.00000
260,845.00000
261,845.00000
262,845.00000
263,845.00000
264,845.00000
265,845.00000
266,845.00000
267,845.00000
268,845.00000
269,845.00000
270,845.00000
271,845.00000
272,845.00000
273,845.00000
274,845.00000
275,845.00000
276,845.00000
277,845.00000
278,845.00000
279,845.00000
280,845.00000
281,845.00000
282,845.00000
283,845.00000
284,845.00000
285,845.00000
286,845.00000
287,845.00000
288,845.00000
289,845.00000
290,845.00000
291,845.00000
292,845.00000
293,845.00000
294,845.00000
295,845.00000
296,845.00000
297,845.00000
298,845.00000
299,845.00000
300,845.00000
301,845.00000
302,845.00000
303,845.00000
304,845.00000
305,845.00000
306,845.00000
307,845.00000
308,845.00000
309,845.00000
310,845.00000
311,845.00000
312,845.00000
313,845.00000
314,845.00000
315,845.00000
316,845.00000
317,845.00000
318,845.00000
319,845.00000
320,845.00000
321,845.00000
322,845.00000
323,845.00000
324,845.00000
325,845.00000
326,845.00000
327,845.00000
328,845.00000
329,845.00000
330,845.00000
331,845.00000
332,845.00000
333,845.00000
334,845.00000
335,845.00000
336,845.00000
337,845.00000
338,845.00000
339,845.00000
340,845.00000
341,845.00000
342,845.00000
343,845.00000
344,845.00000
345,845.00000
346,845.00000
347,845.00000
348,845.00000
349,845.00000
350,845.00000
351,845.00000
352,845.00000
353,845.00000
354,845.00000
355,845.00000
356,845.00000
357,845.00000
358,845.00000
359,845.00000
360,845.00000
361,845.00000
362,845.00000
363,845.00000
364,845.00000
365,845.00000
366,845.00000
367,845.00000
368,845.00000
369,845.00000
370,845.00000
371,845.00000
372,845.00000
373,845.00000
374,845.00000
375,845.00000
376,845.00000
377,845.00000
378,845.00000
379,845.00000
380,845.00000
381,845.00000
382,845.00000
383,845.00000
384,845.00000
385,845.00000
386,845.00000
387,845.00000
388,845.00000
389,845.00000
390,845.00000
391,845.00000
392,845.00000
393,845.00000
394,845.00000
395,845.00000
396,845.00000
397,845.00000
398,845.00000
399,845.00000
400,844.84552
401,844.69104
402,844.53656
403,844.38208
404,844.22760
405,844.07312
406,843.91864
407,843.76416
408,843.60968
409,843.45520
410,843.30072
411,843.14624
412,842.99176
413,842.83728
414,842.68280
415,842.52832
416,842.37384
417,842.21936
418,842.06488
419,841.91040
420,841.75592
421,841.60144
422,841.44696
423,841.29248
424,841.13800
425,840.98352
426,840.82904
427,840.67456
428,840.52008
429,840.36560
430,840.21112
431,840.05664
432,839.90216
433,839.74768
434,839.59320
435,839.43872
436,839.28424
437,839.12976
438,838.97528
439,838.82080
440,838.66632
441,838.51184
442,838.35736
443,838.20288
444,838.04840
445,837.89392
446,837.73944
447,837.58496
448,837.43048
449,837.27600
450,837.12152
451,836.96704
452,836.81256
453,836.65808
454,836.50360
455,836.34912
456,836.19464
457,836.04016
458,835.88568
459,835.73120
460,835.57672
461,835.42224
462,835.26776
463,835.11328
464,834.95880
465,834.80432
466,834.64984
467,834.49536
468,834.34088
469,834.18640
470,834.03192
471,833.87744
472,833.72296
473,833.56848
474,833.41400
475,833.25952
476,833.10504
477,832.95056
478,832.79608
479,832.64160
480,832.48712
481,832.33264
482,832.17816
483,832.02368
484,831.86920
485,831.71472
486,831.56024
487,831.40576
488,831.25470
489,831.10364
490,830.95258
491,830.80151
492,830.65045
493,830.49939
494,830.34833
495,830.19727
496,830.04620
497,829.89514
498,829.74408
499,829.59302
500,829.44196
501,829.29089
502,829.13983
503,828.98877
504,828.83771
505,828.68665
506,828.53558
507,828.38452
508,828.23346
509,828.08240
510,827.93134
511,827.78027
512,827.62921
513,827.47815
514,827.32709
515,827.17603
516,827.02496
517,826.87048
518,826.71600
519,826.56152
520,826.40704
521,826.25256
522,826.09808
523,825.94360
524,825.78912
525,825.63464
526,825.48016
527,825.32568
528,825.17120
529,825.01672
530,824.86224
531,824.70776
532,824.55328
533,824.39880
534,824.24432
535,824.08984
536,823.93536
537,823.78088
538,823.62640
539,823.47192
540,823.31744
541,823.16296
542,823.00848
543,822.85400
544,822.69952
545,822.54504
546,822.39056
547,822.28467
548,822.18530
549,822.08594
550,821.98657
551,821.88721
552,821.78784
553,821.68848
554,821.58911
555,821.48975
556,821.39038
557,821.29102
558,821.19165
559,821.09229
560,820.99292
561,820.89355
562,820.79419
563,820.69482
564,820.59546
565,820.49609
566,820.39673
567,820.29736
568,820.19800
569,820.09863
570,819.99927
571,819.89990
572,819.80054
573,819.70117
574,819.60181
575,819.50244
576,819.40308
577,819.30029
578,819.19751
579,819.09473
580,818.99194
581,818.88916
582,818.78632
583,818.68335
584,818.58038
585,818.47742
586,818.37445
587,818.27148
588,818.16852
589,818.06555
590,817.96259
591,817.85962
592,817.75665
593,817.65369
594,817.55072
595,817.44775
596,817.34479
597,817.24182
598,817.13885
599,817.03589
600,816.93292
601,816.82996
602,816.72699
603,816.62402
604,816.52106
605,816.41809
606,816.31512
607,816.21216
608,816.10919
609,816.00623
610,815.90326
611,815.80029
612,815.69733
613,815.59436
614,815.49139
615,815.38843
616,815.28546
617,815.18250
618,815.07953
619,814.97656
620,814.87360
621,814.77063
622,814.66766
623,814.56470
624,814.46173
625,814.35876
626,814.25580
627,814.15283
628,814.04987
629,813.94690
630,813.84393
631,813.74097
632,813.63800
633,813.53503
634,813.43207
635,813.32910
636,813.22955
637,813.13000
638,813.03046
639,812.93091
640,812.83136
641,812.73181
642,812.63226
643,812.53271
644,812.43317
645,812.33362
646,812.23407
647,812.13452
648,812.03497
649,811.93542
650,811.83588
651,811.73633
652,811.63678
653,811.53723
654,811.43768
655,811.33813
656,811.23859
657,811.13904
658,811.03949
659,810.93994
660,810.84039
661,810.74084
662,810.64130
663,810.54175
664,810.44220
665,810.34265
666,810.23969
667,810.13672
668,810.03375
669,809.93079
670,809.82782
671,809.72485
672,809.62189
673,809.51892
674,809.41595
675,809.31299
676,809.21002
677,809.10706
678,809.00409
679,808.90112
680,808.79816
681,808.69519
682,808.59222
683,808.48926
684,808.38629
685,808.28333
686,808.18036
687,808.07739
688,807.97443
689,807.87146
690,807.76849
691,807.66553
692,807.56256
693,807.45959
694,807.35663
695,807.25366
696,807.10260
697,806.95154
698,806.80048
699,806.64941
700,806.49835
701,806.34729
702,806.19623
703,806.04517
704,805.89410
705,805.74304
706,805.59198
707,805.44092
708,805.28986
709,805.13879
710,804.98773
711,804.83667
712,804.68561
713,804.53455
714,804.38348
715,804.23242
716,804.08136
717,803.93030
718,803.77924
719,803.62817
720,803.47711
721,803.32605
722,803.17499
723,803.02393
724,802.87286
725,802.72180
726,802.57074
727,802.41968
728,802.26862
729,802.11755
730,801.96649
731,801.81543
732,801.66437
733,801.51331
734,801.36224
735,801.21118
736,801.06012
737,800.90906
738,800.75800
739,800.60693
740,800.45587
741,800.30481
742,800.15375
743,800.00269
744,799.85162
745,799.70056
746,799.54950
747,799.39844
748,799.24738
749,799.09631
750,798.94525
751,798.79419
752,798.64313
753,798.49207
754,798.34100
755,798.18994
756,798.03888
757,797.88782
758,797.73676
759,797.58569
760,797.43463
