index,value
0,780.00000
1,780.00000
2,780.00000
3,780.00000
4,780.00000
5,780.00000
6,780.00000
7,780.00000
8,780.00000
9,780.00000
10,780.00000
11,780.00000
12,780.00000
13,780.00000
14,780.00000
15,780.00000
16,780.00000
17,780.00000
18,780.00000
19,780.00000
20,780.00000
21,780.00000
22,780.00000
23,780.00000
24,780.00000
25,780.00000
26,780.00000
27,780.00000
28,780.00000
29,780.00000
30,780.00000
31,780.00000
32,780.00000
33,780.00000
34,780.00000
35,780.00000
36,780.00000
37,780.00000
38,780.00000
39,780.00000
40,780.00000
41,780.00000
42,780.00000
43,780.00000
44,780.00000
45,780.00000
46,780.00000
47,780.00000
48,780.00000
49,780.00000
50,780.00000
51,780.00000
52,780.00000
53,780.00000
54,780.00000
55,780.00000
56,780.00000
57,780.00000
58,780.00000
59,780.00000
60,780.00000
61,780.00000
62,780.00000
63,780.00000
64,780.00000
65,780.00000
66,780.00000
67,780.00000
68,780.00000
69,780.00000
70,780.00000
71,780.00000
72,780.00000
73,780.00000
74,780.00000
75,780.00000
76,780.00000
77,780.00000
78,780.00000
79,780.00000
80,780.00000
81,780.00000
82,780.00000
83,780.00000
84,780.00000
85,780.00000
86,780.00000
87,780.00000
88,780.00000
89,780.00000
90,780.00000
91,780.00000
92,780.00000
93,780.00000
94,780.00000
95,780.00000
96,780.00000
97,780.00000
98,780.00000
99,780.00000
100,780.00000
101,780.00000
102,780.00000
103,780.00000
104,780.00000
105,780.00000
106,780.00000
107,780.00000
108,780.00000
109,780.00000
110,780.00000
111,780.00000
112,780.00000
113,780.00000
114,780.00000
115,780.00000
116,780.00000
117,780.00000
118,780.00000
119,780.00000
120,780.00000
121,780.00000
122,780.00000
123,780.00000
124,780.00000
125,780.00000
126,780.00000
127,780.00000
128,780.00000
129,780.00000
130,780.00000
131,780.00000
132,780.00000
133,780.00000
134,780.00000
135,780.00000
136,780.00000
137,780.00000
138,780.00000
139,780.00000
140,780.00000
141,780.00000
142,780.00000
143,780.00000
144,780.00000
145,780.00000
146,780.00000
147,780.00000
148,780.00000
149,780.00000
150,780.00000
151,780.00000
152,780.00000
153,780.00000
154,780.00000
155,780.00000
156,780.00000
157,780.00000
158,780.00000
159,780.00000
160,780.00000
161,780.00000
162,780.00000
163,780.00000
164,780.00000
165,780.00000
166,780.00000
167,780.00000
168,780.00000
169,780.00000
170,780.00000
171,780.00000
172,780.00000
173,780.00000
174,780.00000
175,780.00000
176,780.00000
177,780.00000
178,780.00000
179,780.00000
180,780.00000
181,780.00000
182,780.00000
183,780.00000
184,780.00000
185,780.00000
186,780.00000
187,780.00000
188,780.00000
189,780.00000
190,780.00000
191,780.00000
192,780.00000
193,780.00000
194,780.00000
195,780.00000
196,780.00000
197,780.00000
198,780.00000
199,780.00000
200,780.00000
201,780.00000
202,780.00000
203,780.00000
204,780.00000
205,780.00000
206,780.00000
207,780.00000
208,780.00000
209,780.00000
210,780.00000
211,780.00000
212,780.00000
213,780.00000
214,780.00000
215,780.00000
216,780.00000
217,780.00000
218,780.00000
219,780.00000
220,780.00000
221,780.00000
222,780.00000
223,780.00000
224,780.00000
225,780.00000
226,780.00000
227,780.00000
228,780.00000
229,780.00000
230,780.00000
231,780.00000
232,780.00000
233,780.00000
234,780.00000
235,780.00000
236,780.00000
237,780.00000
238,780.00000
239,780.00000
240,780.00000
241,780.00000
242,780.00000
243,780.00000
244,780.00000
245,780.00000
246,780.00000
247,780.00000
248,780.00000
249,780.00000
250,780.00000
251,780.00000
252,780.00000
253,780.00000
254,780.00000
255,780.00000
256,780.00000
257,780.00000
258,780.00000
259,780.00000
260,780.00000
261,780.00000
262,780.00000
263,780.00000
264,780.00000
265,780.00000
266,780.00000
267,780.00000
268,780.00000
269,780.00000
270,780.00000
271,780.00000
272,780.00000
273,780.00000
274,780.00000
275,780.00000
276,780.00000
277,780.00000
278,780.00000
279,780.00000
280,780.00000
281,780.00000
282,780.00000
283,780.00000
284,780.00000
285,780.00000
286,780.00000
287,780.00000
288,780.00000
289,780.00000
290,780.00000
291,780.00000
292,780.00000
293,780.00000
294,780.00000
295,780.00000
296,780.00000
297,780.00000
298,780.00000
299,780.00000
300,780.00000
301,780.00000
302,780.00000
303,780.00000
304,780.00000
305,780.00000
306,780.00000
307,780.00000
308,780.00000
309,780.00000
310,780.00000
311,780.00000
312,780.00000
313,780.00000
314,780.00000
315,780.00000
316,780.00000
317,780.00000
318,780.00000
319,780.00000
320,780.00000
321,780.00000
322,780.00000
323,780.00000
324,780.00000
325,780.00000
326,780.00000
327,780.00000
328,780.00000
329,780.00000
330,780.00000
331,780.00000
332,780.00000
333,780.00000
334,780.00000
335,780.00000
336,780.00000
337,780.00000
338,780.00000
339,780.00000
340,780.00000
341,780.00000
342,780.00000
343,780.00000
344,780.00000
345,780.00000
346,780.00000
347,780.00000
348,780.00000
349,780.00000
350,780.00000
351,780.00000
352,780.00000
353,780.00000
354,780.00000
355,780.00000
356,780.00000
357,780.00000
358,780.00000
359,780.00000
360,780.00000
361,780.00000
362,780.00000
363,780.00000
364,780.00000
365,780.00000
366,780.00000
367,780.00000
368,780.00000
369,780.00000
370,780.00000
371,780.00000
372,780.00000
373,780.00000
374,780.00000
375,780.00000
376,780.00000
377,780.00000
378,780.00000
379,780.00000
380,780.00000
381,780.00000
382,780.00000
383,780.00000
384,780.00000
385,780.00000
386,780.00000
387,780.00000
388,780.00000
389,780.00000
390,780.00000
391,780.00000
392,780.00000
393,780.00000
394,780.00000
395,780.00000
396,780.00000
397,780.00000
398,780.00000
399,780.00000
400,779.89142
401,779.78284
402,779.67426
403,779.56567
404,779.45709
405,779.34851
406,779.22632
407,779.10413
408,778.98193
409,778.85974
410,778.73755
411,778.61536
412,778.49316
413,778.37097
414,778.26239
415,778.15381
416,778.04523
417,777.93665
418,777.82806
419,777.71948
420,777.61090
421,777.50232
422,777.39374
423,777.28516
424,777.17657
425,777.06799
426,776.95941
427,776.85083
428,776.74225
429,776.34857
430,775.95490
431,775.56122
432,775.16754
433,774.77386
434,774.38019
435,773.98651
436,773.59283
437,773.19916
438,772.80548
439,772.41180
440,772.01813
441,771.62445
442,771.23077
443,770.83710
444,770.45697
445,770.07684
446,769.69672
447,769.31659
448,768.93646
449,768.55634
450,768.17621
451,767.78253
452,767.38885
453,766.99518
454,766.60150
455,766.20782
456,765.81415
457,765.42047
458,765.02679
459,764.49731
460,763.96783
461,763.43835
462,762.90887
463,762.37939
464,761.84991
465,761.32043
466,760.79095
467,760.26147
468,759.73199
469,759.20251
470,758.67303
471,758.14355
472,757.61407
473,757.08459
474,756.54156
475,755.99854
476,755.45551
477,754.91248
478,754.36945
479,753.82642
480,753.28339
481,752.75391
482,752.22443
483,751.69495
484,751.16547
485,750.63599
486,750.10651
487,749.57703
488,749.04755
489,748.51807
490,747.98859
491,747.45911
492,746.92963
493,746.40015
494,745.87067
495,745.34119
496,744.86841
497,744.71313
498,744.60577
499,744.49841
500,744.39105
501,744.28369
502,744.17633
503,744.06897
504,743.96161
505,743.86768
506,743.77374
507,743.67981
508,743.58588
509,743.49194
510,743.39801
511,743.30408
512,743.21014
513,743.10278
514,742.99542
515,742.88806
516,742.78070
517,742.67334
518,742.56598
519,742.45862
520,742.36469
521,742.27075
522,742.17682
523,742.08289
524,741.98895
525,741.89502
526,741.80109
527,741.70715
528,741.59979
529,741.49243
530,741.38507
531,741.27771
532,741.17035
533,741.06299
534,740.95563
535,740.84827
536,740.81708
537,740.81708
538,740.81708
539,740.81708
540,740.81708
541,740.81708
542,740.81708
543,740.81708
544,740.81708
545,740.81708
546,740.81708
547,740.81708
548,740.81708
549,740.81708
550,740.81708
551,740.81708
552,740.81708
553,740.81708
554,740.81708
555,740.81708
556,740.81708
557,740.81708
558,740.81708
559,740.81708
560,740.81708
561,740.81708
562,740.81708
563,740.81708
564,740.81708
565,740.80206
566,740.66650
567,740.53094
568,740.39539
569,740.25983
570,740.12427
571,739.98871
572,739.88025
573,739.77179
574,739.66333
575,739.55487
576,739.44641
577,739.33795
578,739.22949
579,739.09393
580,738.95837
581,738.82281
582,738.68726
583,738.55170
584,738.41614
585,738.28058
586,738.14502
587,738.02301
588,737.90100
589,737.77899
590,737.65698
591,737.53497
592,737.41296
593,737.29095
594,737.16895
595,737.04694
596,736.92493
597,736.80292
598,736.68091
599,736.55890
600,736.43689
601,736.31488
602,736.01672
603,735.71857
604,735.42041
605,735.12225
606,734.82410
607,734.52594
608,734.22778
609,733.92963
610,733.64502
611,733.36041
612,733.07581
613,732.79120
614,732.50659
615,732.22198
616,731.93738
617,731.62567
618,731.31396
619,731.00226
620,730.69055
621,730.37885
622,730.06714
623,729.75543
624,729.44373
625,729.15912
626,728.87451
627,728.58990
