index,value
0,780.00000
1,779.82001
2,779.64001
3,779.46002
4,779.28003
5,779.10004
6,778.92004
7,778.74005
8,778.56006
9,778.38007
10,778.20007
11,778.02008
12,777.84009
13,777.66010
14,777.48010
15,777.30011
16,777.12012
17,776.94012
18,776.76013
19,776.58014
20,776.40015
21,776.22015
22,776.04016
23,775.86017
24,775.68018
25,775.50018
26,775.32019
27,775.14020
28,774.96021
29,774.78021
30,774.60022
31,774.42023
32,774.24023
33,774.06024
34,773.88025
35,773.70026
36,773.52026
37,773.34027
38,773.16028
39,772.98029
40,772.80029
41,772.62030
42,772.44031
43,772.26031
44,772.08032
45,771.90033
46,771.72034
47,771.54034
48,771.36035
49,771.18036
50,771.00037
51,770.82037
52,770.64038
53,770.46039
54,770.28040
55,770.10040
56,769.92041
57,769.74042
58,769.56042
59,769.38043
60,769.20044
61,769.02045
62,768.84045
63,768.66046
64,768.48047
65,768.30048
66,768.12048
67,767.94049
68,767.76050
69,767.58051
70,767.40051
71,767.22052
72,767.04053
73,766.86053
74,766.68054
75,766.50055
76,766.32056
77,766.14056
78,765.96057
79,765.78058
80,765.60059
81,765.42059
82,765.24060
83,765.06061
84,764.88062
85,764.70062
86,764.52063
87,764.34064
88,764.16064
89,763.98065
90,763.80066
91,763.62067
92,763.44067
93,763.26068
94,763.08069
95,762.90070
96,762.72070
97,762.54071
98,762.36072
99,762.18073
100,762.00073
101,761.82074
102,761.64075
103,761.46075
104,761.28076
105,761.10077
106,760.92078
107,760.74078
108,760.56079
109,760.38080
110,760.20081
111,760.02081
112,759.84082
113,759.66083
114,759.48083
115,759.30084
116,759.12085
117,758.94086
118,758.76086
119,758.58087
120,758.40088
121,758.22089
122,758.04089
123,757.86090
124,757.68091
125,757.50092
126,757.32092
127,757.14093
128,756.96094
129,756.78094
130,756.60095
131,756.42096
132,756.24097
133,756.06097
134,755.88098
135,755.70099
136,755.52100
137,755.34100
138,755.16101
139,754.98102
140,754.80103
141,754.62103
142,754.44104
143,754.26105
144,754.08105
145,753.90106
146,753.72107
147,753.54108
148,753.36108
149,753.18109
150,753.00110
151,752.82111
152,752.64111
153,752.46112
154,752.28113
155,752.10114
156,751.92114
157,751.74115
158,751.56116
159,751.38116
160,751.20117
161,751.02118
162,750.84119
163,750.66119
164,750.48120
165,750.30121
166,750.12122
167,749.94122
168,749.76123
169,749.58124
170,749.40125
171,749.22125
172,749.04126
173,748.86127
174,748.68127
175,748.50128
176,748.32129
177,748.14130
178,747.96130
179,747.78131
180,747.60132
181,747.42133
182,747.24133
183,747.06134
184,746.88135
185,746.70135
186,746.52136
187,746.34137
188,746.16138
189,745.98138
190,745.80139
191,745.62140
192,745.44141
193,745.26141
194,745.08142
195,744.90143
196,744.72144
197,744.54144
198,744.36145
199,744.18146
200,744.00146
201,743.82147
202,743.64148
203,743.46149
204,743.28149
205,743.10150
206,742.92151
207,742.74152
208,742.56152
209,742.38153
210,742.20154
211,742.02155
212,741.84155
213,741.66156
214,741.48157
215,741.30157
216,741.12158
217,740.94159
218,740.76160
219,740.58160
220,740.40161
221,740.22162
222,740.04163
223,739.86163
224,739.68164
225,739.50165
226,739.32166
227,739.14166
228,738.96167
229,738.78168
230,738.60168
231,738.42169
232,738.24170
233,738.06171
234,737.88171
235,737.70172
236,737.52173
237,737.34174
238,737.16174
239,736.98175
240,736.80176
241,736.62177
242,736.44177
243,736.26178
244,736.08179
245,735.90179
246,735.72180
247,735.54181
248,735.36182
249,735.18182
250,735.00183
251,734.82184
252,734.64185
253,734.46185
254,734.28186
255,734.10187
256,733.92188
257,733.74188
258,733.56189
259,733.38190
260,733.20190
261,733.02191
262,732.84192
263,732.66193
264,732.48193
265,732.30194
266,732.12195
267,731.94196
268,731.76196
269,731.58197
270,731.40198
271,731.22198
272,731.04199
273,730.86200
274,730.68201
275,730.50201
276,730.32202
277,730.14203
278,729.96204
279,729.78204
280,729.60205
281,729.42206
282,729.24207
283,729.06207
284,728.88208
285,728.70209
286,728.52209
287,728.34210
288,728.16211
289,727.98212
290,727.80212
291,727.62213
292,727.44214
293,727.26215
294,727.08215
295,726.90216
296,726.72217
297,726.54218
298,726.36218
299,726.18219
300,726.00220
301,725.82220
302,725.64221
303,725.46222
304,725.28223
305,725.10223
306,724.92224
307,724.74225
308,724.56226
309,724.38226
310,724.20227
311,724.02228
312,723.84229
313,723.66229
314,723.48230
315,723.30231
316,723.12231
317,722.94232
318,722.76233
319,722.58234
320,722.40234
321,722.22235
322,722.04236
323,721.86237
324,721.68237
325,721.50238
326,721.32239
327,721.14240
328,720.96240
329,720.78241
330,720.60242
331,720.42242
332,720.24243
333,720.06244
334,719.88245
335,719.70245
336,719.52246
337,719.34247
338,719.16248
339,718.98248
340,718.80249
341,718.62250
342,718.44250
343,718.26251
344,718.08252
345,717.90253
346,717.72253
347,717.54254
348,717.36255
349,717.18256
350,717.00256
351,716.82257
352,716.64258
353,716.46259
354,716.28259
355,716.10260
356,715.92261
357,715.74261
358,715.56262
359,715.38263
360,715.20264
361,715.02264
362,714.84265
363,714.66266
364,714.48267
365,714.30267
366,714.12268
367,713.94269
368,713.76270
369,713.58270
370,713.40271
371,713.22272
372,713.04272
373,712.86273
374,712.68274
375,712.50275
376,712.32275
377,712.14276
378,711.96277
379,711.78278
380,711.60278
381,711.42279
382,711.24280
383,711.06281
384,710.88281
385,710.70282
386,710.52283
387,710.34283
388,710.16284
389,709.98285
390,709.80286
391,709.62286
392,709.44287
393,709.26288
394,709.08289
395,708.90289
396,708.72290
397,708.54291
398,708.36292
399,708.18292
400,708.00293
401,707.82294
402,707.64294
403,707.46295
404,707.28296
405,707.10297
406,706.92297
407,706.74298
408,706.56299
409,706.38300
410,706.20300
411,706.02301
412,705.84302
413,705.66302
414,705.48303
415,705.30304
416,705.12305
417,704.94305
418,704.76306
419,704.58307
420,704.40308
421,704.22308
422,704.04309
423,703.86310
424,703.68311
425,703.50311
426,703.32312
427,703.14313
428,702.96313
429,702.78314
430,702.60315
431,702.42316
432,702.24316
433,702.06317
434,701.88318
435,701.70319
436,701.52319
437,701.34320
438,701.16321
439,700.98322
440,700.80322
441,700.62323
442,700.44324
443,700.26324
444,700.08325
445,699.90326
446,699.72327
447,699.54327
448,699.36328
449,699.18329
450,699.00330
451,698.82330
452,698.64331
453,698.46332
454,698.28333
455,698.10333
456,697.92334
457,697.74335
458,697.56335
459,697.38336
460,697.20337
461,697.02338
462,696.84338
463,696.66339
464,696.48340
465,696.30341
466,696.12341
467,695.94342
468,695.76343
469,695.58344
470,695.40344
471,695.22345
472,695.04346
473,694.86346
474,694.68347
475,694.50348
476,694.32349
477,694.14349
478,693.96350
479,693.78351
480,693.60352
481,693.42352
482,693.24353
483,693.06354
484,692.88354
485,692.70355
486,692.52356
487,692.34357
488,692.16357
489,691.98358
490,691.80359
491,691.62360
492,691.44360
493,691.26361
494,691.08362
495,690.90363
496,690.72363
497,690.54364
498,690.36365
499,690.18365
500,690.00366
501,689.82367
502,689.64368
503,689.46368
504,689.28369
505,689.10370
506,688.92371
507,688.74371
508,688.56372
509,688.38373
510,688.20374
511,688.02374
512,687.84375
513,687.66376
514,687.48376
515,687.30377
516,687.12378
517,686.94379
518,686.76379
519,686.58380
520,686.40381
521,686.22382
522,686.04382
523,685.86383
524,685.68384
525,685.50385
526,685.32385
527,685.14386
528,684.96387
529,684.78387
530,684.60388
531,684.42389
532,684.24390
533,684.06390
534,683.88391
535,683.70392
536,683.52393
537,683.34393
538,683.16394
539,682.98395
540,682.80396
541,682.62396
542,682.44397
543,682.26398
544,682.08398
545,681.90399
546,681.72400
547,681.54401
548,681.36401
549,681.18402
550,681.00403
551,680.82404
552,680.64404
553,680.46405
554,680.28406
555,680.10406
556,679.92407
557,679.74408
558,679.56409
559,679.38409
560,679.20410
561,679.02411
562,678.84412
563,678.66412
564,678.48413
565,678.30414
566,678.12415
567,677.94415
