index,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21
0,780,780,780,800,870,780,780,780,780,780,820,800,780,820,780,780,780,820,780,780,825,845
1,779.7702026,779.7702026,779.8474731,799.7404785,869.6846313,779.9293213,779.7702026,779.2329712,780,779.6841431,819.6841431,799.75,779.7006836,819.7006836,780,779.6300049,779.3200073,819.3200073,779.5499878,779.7827759,824.6300049,844.69104
2,779.5404053,779.5405884,779.6949463,799.480957,869.3692627,779.8586426,779.5404053,778.4659424,780,779.3682861,819.3682861,799.5,779.4013672,819.4013672,780,779.2600098,778.6400146,818.6400146,779.0999756,779.5655518,824.2600098,844.3820801
3,779.3106079,779.3115234,779.5430298,799.2214355,869.053894,779.7879639,779.3106079,777.6989136,780,779.0524292,819.0524292,799.25,779.1020508,819.1020508,780,778.8900146,777.960022,817.960022,778.6499634,779.3483276,823.8900146,844.0731201
4,779.0808105,779.0847778,779.3916016,798.9619141,868.7385254,779.7172852,779.0808105,776.9318848,780,778.7365723,818.7365723,799,778.8027344,818.8027344,779.8256836,778.5200195,777.2800293,817.2800293,778.1999512,779.1039429,823.5200195,843.7641602
5,778.8510132,778.8701782,779.2449951,798.7023926,868.4231567,779.6466064,778.8510132,776.164856,780,778.4207153,818.4207153,798.75,778.503418,818.503418,779.6513672,778.1500244,776.6000366,816.6000366,777.749939,778.8595581,823.1500244,843.4552002
6,778.6212158,778.6477661,779.097168,798.4628906,868.0684204,779.5759277,778.6212158,775.3978271,780,778.085083,818.085083,798.5,778.2041016,818.2041016,779.4770508,777.7800293,775.9200439,815.9200439,777.2999268,778.6151733,822.7800293,843.1462402
7,778.3914185,778.4412842,778.953186,798.2233887,867.7136841,779.505249,778.3914185,774.6307983,780,777.7494507,817.7494507,798.25,777.9047852,817.9047852,779.3027344,777.4100342,775.2400513,815.2400513,776.8499146,778.3707886,822.4100342,842.8372803
8,778.1616211,778.234375,778.8088989,797.9838867,867.3983154,779.4345703,778.1616211,773.8637695,780,777.4138184,817.4138184,798,777.6326904,817.6326904,779.128418,777.0400391,774.5600586,814.5600586,776.3999023,778.1535645,822.0400391,842.5283203
9,777.9318237,778.024292,778.6682129,797.7443848,867.0829468,779.3638916,777.9318237,773.0967407,779.1599731,777.078186,817.078186,797.75,777.3605957,817.3605957,778.9541016,776.6700439,773.8800659,813.8800659,775.9498901,777.9363403,821.6700439,842.2193604
10,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,797.5,777.088501,817.088501,778.7797852,776.3000488,773.2000732,813.2000732,775.4998779,777.7191162,821.3000488,841.9104004
11,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,797.25,777.088501,817.088501,778.7797852,776.1520386,772.5200806,812.5200806,775.3198853,777.7191162,821.3000488,841.9104004
12,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,797,777.088501,817.088501,778.7797852,776.0040283,771.8400879,811.8400879,775.1398926,777.7191162,821.3000488,841.9104004
13,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,796.75,777.088501,817.088501,778.7797852,775.8560181,771.1600952,811.1600952,774.9598999,777.7191162,821.3000488,841.9104004
14,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,796.5,777.088501,817.088501,778.7797852,775.7080078,770.4801025,810.4801025,774.7799072,777.7191162,821.3000488,841.9104004
15,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,796.25,777.088501,817.088501,778.7797852,775.5599976,769.8001099,809.8001099,774.5999146,777.7191162,821.3000488,841.9104004
16,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,796,777.088501,817.088501,778.7797852,775.4119873,769.1201172,809.1201172,774.4199219,777.7191162,821.3000488,841.9104004
17,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,795.75,777.088501,817.088501,778.7797852,775.2639771,768.4401245,808.4401245,774.2399292,777.7191162,821.3000488,841.9104004
18,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,795.5,777.088501,817.088501,778.7797852,775.1159668,767.7601318,807.7601318,774.0599365,777.7191162,821.3000488,841.9104004
