index,value
0,819.00000
1,819.00000
2,819.00000
3,819.00000
4,819.00000
5,819.00000
6,819.00000
7,819.00000
8,819.00000
9,819.00000
10,819.00000
11,819.00000
12,819.00000
13,819.00000
14,819.00000
15,819.00000
16,819.00000
17,819.00000
18,819.00000
19,819.00000
20,819.00000
21,819.00000
22,819.00000
23,819.00000
24,819.00000
25,819.00000
26,819.00000
27,819.00000
28,819.00000
29,819.00000
30,819.00000
31,819.00000
32,819.00000
33,819.00000
34,819.00000
35,819.00000
36,819.00000
37,819.00000
38,819.00000
39,819.00000
40,819.00000
41,819.00000
42,819.00000
43,819.00000
44,819.00000
45,819.00000
46,819.00000
47,819.00000
48,819.00000
49,819.00000
50,819.00000
51,819.00000
52,819.00000
53,819.00000
54,819.00000
55,819.00000
56,819.00000
57,819.00000
58,819.00000
59,819.00000
60,819.00000
61,819.00000
62,819.00000
63,819.00000
64,819.00000
65,819.00000
66,819.00000
67,819.00000
68,819.00000
69,819.00000
70,819.00000
71,819.00000
72,819.00000
73,819.00000
74,819.00000
75,819.00000
76,819.00000
77,819.00000
78,819.00000
79,819.00000
80,819.00000
81,819.00000
82,819.00000
83,819.00000
84,819.00000
85,819.00000
86,819.00000
87,819.00000
88,819.00000
89,819.00000
90,819.00000
91,819.00000
92,819.00000
93,819.00000
94,819.00000
95,819.00000
96,819.00000
97,819.00000
98,819.00000
99,819.00000
100,819.00000
101,819.00000
102,819.00000
103,819.00000
104,819.00000
105,819.00000
106,819.00000
107,819.00000
108,819.00000
109,819.00000
110,819.00000
111,819.00000
112,819.00000
113,819.00000
114,819.00000
115,819.00000
116,819.00000
117,819.00000
118,819.00000
119,819.00000
120,819.00000
121,819.00000
122,819.00000
123,819.00000
124,819.00000
125,819.00000
126,819.00000
127,819.00000
128,819.00000
129,819.00000
130,819.00000
131,819.00000
132,819.00000
133,819.00000
134,819.00000
135,819.00000
136,819.00000
137,819.00000
138,819.00000
139,819.00000
140,819.00000
141,819.00000
142,819.00000
143,819.00000
144,819.00000
145,819.00000
146,819.00000
147,819.00000
148,819.00000
149,819.00000
150,819.00000
151,819.00000
152,819.00000
153,819.00000
154,819.00000
155,819.00000
