index,value0,value1
0,870.0000000000,879.0000000000
1,869.9595947266,878.9749145508
2,869.9191894531,878.9498291016
3,869.8787841797,878.9247436523
4,869.8383789062,878.8996582031
5,869.7979736328,878.8745727539
6,869.7575683594,878.8494873047
7,869.7171630859,878.8244018555
8,869.6767578125,878.7993164062
9,869.6363525391,878.7742309570
10,869.5959472656,878.7491455078
11,869.5555419922,878.7240600586
12,869.5151367188,878.6989746094
13,869.4747314453,878.6738891602
14,869.4343261719,878.6488037109
15,869.3939208984,878.6237182617
16,869.3535156250,878.5986328125
17,869.3073730469,878.5735473633
18,869.2612304688,878.5484619141
19,869.2150878906,878.5233764648
20,869.1689453125,878.4982910156
21,869.1228027344,878.4732055664
22,869.0766601562,878.4481201172
23,869.0305175781,878.4230346680
24,868.9843750000,878.3979492188
25,868.9382324219,878.3728637695
26,868.8920898438,878.3477783203
27,868.8459472656,878.3226928711
28,868.7998046875,878.2940063477
29,868.7536621094,878.2653198242
30,868.7075195312,878.2366333008
31,868.6613769531,878.2079467773
32,868.6152343750,878.1792602539
33,868.5690917969,878.1505737305
34,868.5229492188,878.1218872070
35,868.4825439453,878.0932006836
36,868.4421386719,878.0645141602
37,868.4017333984,878.0358276367
38,868.3613281250,878.0071411133
39,868.3209228516,877.9784545898
40,868.2805175781,877.9497680664
41,868.2401123047,877.9210815430
42,868.1997070312,877.8923950195
43,868.1593017578,877.8637084961
44,868.1188964844,877.8350219727
45,868.0784912109,877.8063354492
46,868.0380859375,877.7776489258
47,867.9976806641,877.7489624023
48,867.9572753906,877.7202758789
49,867.9168701172,877.6915893555
50,867.8764648438,877.6629028320
51,867.8360595703,877.6342163086
52,867.7956542969,877.6055297852
53,867.7552490234,877.5768432617
54,867.7148437500,877.5481567383
55,867.6744384766,877.5194702148
56,867.6340332031,877.4926757812
57,867.5936279297,877.4675292969
58,867.5532226562,877.4423828125
59,867.5128173828,877.4172363281
60,867.4724121094,877.3920898438
61,867.4320068359,877.3669433594
62,867.3916015625,877.3417968750
63,867.3511962891,877.3166503906
64,867.3107910156,877.2915039062
65,867.2703857422,877.2663574219
66,867.2299804688,877.2412109375
67,867.1895751953,877.2160644531
68,867.1491699219,877.1909179688
69,867.1087646484,877.1657714844
70,866.9991455078,877.1406250000
71,866.8895263672,877.1154785156
72,866.7799072266,877.0903320312
73,866.6702880859,877.0651855469
74,866.5606689453,877.0400390625
75,866.4510498047,877.0148925781
76,866.3414306641,876.9897460938
77,866.2318115234,876.9645996094
78,866.1221923828,876.9394531250
79,866.0125732422,876.9143066406
80,865.9029541016,876.8891601562
81,865.7933349609,876.8640136719
82,865.6837158203,876.8388671875
83,865.5740966797,876.8137207031
84,865.4644775391,876.7885742188
85,865.3548583984,876.7634277344
86,865.2452392578,876.7382812500
87,865.1356201172,876.7131347656
88,865.0202026367,876.6880493164
89,864.9047851562,876.6629638672
90,864.7893676758,876.6378784180
91,864.6739501953,876.6127929688
92,864.5585327148,876.5877075195
93,864.4431152344,876.5626220703
94,864.3276977539,876.5375366211
95,864.2122802734,876.5124511719
96,864.0968627930,876.4873657227
97,863.9814453125,876.4622802734
98,863.8660278320,876.4371948242
99,863.7506103516,876.4121093750
100,863.6351928711,876.3870239258
101,863.5197753906,876.3619384766
102,863.4043579102,876.3368530273
103,863.2889404297,876.3117675781
104,863.1735229492,876.2866821289
105,863.0581054688,876.2615966797
106,862.9484863281,876.2365112305
107,862.8388671875,876.2114257812
108,862.7292480469,876.1863403320
109,862.6196289062,876.1612548828
110,862.5100097656,876.1361694336
111,862.4003906250,876.1110839844
112,862.2907714844,876.0859985352
113,862.1811523438,876.0609130859
114,862.0715332031,875.9927368164
115,861.9619140625,875.9245605469
116,861.8522949219,875.8563842773
117,861.7426757812,875.7882080078
118,861.6330566406,875.7200317383
119,861.5234375000,875.6518554688
120,861.4138183594,875.5836791992
121,861.3041992188,875.5155029297
122,861.1945800781,875.4473266602
123,861.0849609375,875.3791503906
124,860.9753417969,875.3109741211
125,860.8657226562,875.2427978516
126,860.7561035156,875.1746215820
127,860.6464843750,875.1064453125
128,860.5368652344,875.0382690430
129,860.4272460938,874.9700927734
130,860.3176269531,874.9019165039
131,860.2080078125,874.8337402344
132,860.0983886719,874.7655639648
133,859.9887695312,874.6973876953
134,859.8791503906,874.6292114258
135,859.7695312500,874.5610351562
136,859.6599121094,874.4928588867
137,859.5502929688,874.4246826172
138,859.4406738281,874.3565063477
139,859.3310546875,874.2883300781
140,859.2214355469,874.2201538086
141,859.1060180664,874.1519775391
142,858.9906005859,874.0802001953
143,858.8751831055,874.0084228516
144,858.7597656250,873.9366455078
145,858.6443481445,873.8648681641
146,858.5289306641,873.7930908203
147,858.4135131836,873.7213134766
148,858.2980957031,873.6495361328
149,858.1826782227,873.5777587891
150,858.0672607422,873.5059814453
151,857.9518432617,873.4342041016
152,857.8364257812,873.3624267578
153,857.7210083008,873.2906494141
154,857.6055908203,873.2188720703
155,857.4901733398,873.1470947266
156,857.3747558594,873.0753173828
157,857.2593383789,873.0035400391
158,857.1439208984,872.9317626953
159,857.0227050781,872.8599853516
160,856.9014892578,872.7882080078
161,856.7802734375,872.7164306641
162,856.6590576172,872.6446533203
163,856.5378417969,872.5728759766
164,856.4166259766,872.5010986328
165,856.2954101562,872.4293212891
166,856.1741943359,872.3575439453
167,856.0529785156,872.2857666016
168,855.9317626953,872.2139892578
169,855.8105468750,872.1422119141
170,855.6893310547,872.0704345703
171,855.5681152344,872.0022583008
172,855.4468994141,871.9340820312
173,855.3256835938,871.8659057617
174,855.2044677734,871.7977294922
175,855.0832519531,871.7295532227
176,854.9620361328,871.6613769531
177,854.8466186523,871.5932006836
178,854.7312011719,871.5250244141
179,854.6157836914,871.4568481445
180,854.5003662109,871.3886718750
181,854.3849487305,871.3204956055
182,854.2695312500,871.2523193359
183,854.1541137695,871.1841430664
184,854.0386962891,871.1159667969
185,853.9232788086,871.0477905273
186,853.8078613281,870.9796142578
187,853.6924438477,870.9114379883
188,853.5770263672,870.8432617188
189,853.4616088867,870.7750854492
190,853.3461914062,870.7069091797
191,853.2307739258,870.6387329102
192,853.1153564453,870.5705566406
193,852.9999389648,870.5023803711
194,852.8845214844,870.4342041016
195,852.7691040039,870.3660278320
196,852.6536865234,870.2978515625
197,852.5382690430,870.2296752930
198,852.4228515625,870.1614990234
199,852.3074340820,870.0933227539
200,852.1920166016,870.0251464844
201,852.0765991211,869.9569702148
202,851.9611816406,869.8887939453
203,851.8457641602,869.8206176758
204,851.7303466797,869.7524414062
205,851.6149291992,869.6842651367
206,851.4995117188,869.6160888672
207,851.3840942383,869.5479125977
208,851.2686767578,869.4797363281
209,851.1532592773,869.4115600586
210,851.0378417969,869.3433837891
211,850.9224243164,869.2752075195
212,850.8012084961,869.2070312500
213,850.6799926758,869.1388549805
214,850.5587768555,869.0706787109
215,850.4375610352,869.0025024414
216,850.3163452148,868.9343261719
217,850.1951293945,868.8661499023
218,850.0739135742,868.7979736328
219,849.9526977539,868.7297973633
220,849.8314819336,868.6616210938
221,849.7102661133,868.5934448242
222,849.5890502930,868.5252685547
223,849.4678344727,868.4570922852
224,849.3466186523,868.3889160156
225,849.2254028320,868.3207397461
226,849.1041870117,868.2525634766
227,848.9829711914,868.1843872070
228,848.8617553711,868.1126098633
229,848.7405395508,868.0408325195
230,848.6251220703,867.9690551758
231,848.5097045898,867.8972778320
232,848.3942871094,867.8255004883
233,848.2788696289,867.7537231445
234,848.1634521484,867.6819458008
235,848.0480346680,867.6101684570
236,847.9326171875,867.5383911133
237,847.8171997070,867.4666137695
238,847.7017822266,867.3948364258
239,847.5863647461,867.3230590820
240,847.4709472656,867.2512817383
241,847.3555297852,867.1795043945
242,847.2401123047,867.1077270508
243,847.1246948242,867.0359497070
244,847.0092773438,866.9641723633
245,846.8938598633,866.8923950195
