index,value0,value1
0,0.0000000000,0.0000000000
1,0.0000000000,0.0000000000
2,0.0000000000,0.0000000000
3,0.0000000000,0.0000000000
4,0.0000000000,0.0000000000
5,0.0000000000,0.0000000000
6,0.0000000000,0.0000000000
7,0.0000000000,0.0000000000
8,0.0000000000,0.0000000000
9,0.0000000000,0.0000000000
10,0.0000000000,0.0000000000
11,0.0000000000,0.0000000000
12,0.0000000000,0.0000000000
13,0.0000000000,0.0000000000
14,0.0000000000,0.0000000000
15,0.0000000000,0.0000000000
16,0.0000000000,0.0000000000
17,0.0000000000,0.0000000000
18,0.0000000000,0.0000000000
19,0.0000000000,0.0000000000
20,0.0000000000,0.0000000000
21,0.0000000000,0.0000000000
22,0.0000000000,0.0000000000
23,0.0000000000,0.0000000000
24,0.0000000000,0.0000000000
25,0.0000000000,0.0000000000
26,0.0000000000,0.0000000000
27,0.0000000000,0.0000000000
28,0.0000000000,0.0000000000
29,0.0000000000,0.0000000000
30,0.0000000000,0.0000000000
31,0.0000000000,0.0000000000
32,0.0000000000,0.0000000000
33,0.0000000000,0.0000000000
34,0.0000000000,0.0000000000
35,0.0000000000,0.0000000000
36,0.0000000000,0.0000000000
37,0.0000000000,0.0000000000
38,0.0000000000,0.0000000000
39,0.0000000000,0.0000000000
40,0.0000000000,0.0000000000
41,0.0000000000,0.0000000000
42,0.0000000000,0.0000000000
43,0.0000000000,0.0000000000
44,0.0000000000,0.0000000000
45,0.0000000000,0.0000000000
46,0.0000000000,0.0000000000
47,0.0000000000,0.0000000000
48,0.0000000000,0.0000000000
49,0.0000000000,0.0000000000
50,0.0000000000,0.0000000000
51,0.0000000000,0.0000000000
52,0.0000000000,0.0000000000
53,0.0000000000,0.0000000000
54,0.0000000000,0.0000000000
55,0.0000000000,0.0000000000
56,0.0000000000,0.0000000000
57,0.0000000000,0.0000000000
58,0.0000000000,0.0000000000
59,0.0000000000,0.0000000000
60,0.0000000000,0.0000000000
61,0.0000000000,0.0000000000
62,0.0000000000,0.0000000000
63,0.0000000000,0.0000000000
64,0.0000000000,0.0000000000
65,0.0000000000,0.0000000000
66,400.9999694824,400.9999694824
67,401.0000000000,401.9999694824
68,402.0000000000,402.9999694824
69,400.0000305176,406.9999694824
70,404.0000000000,407.9999694824
71,405.0000000000,411.9999694824
72,406.0000000000,412.9999694824
73,410.0000000000,416.9999694824
74,411.0000000000,417.9999694824
75,415.0000000000,418.9999694824
76,416.0000000000,422.9999694824
77,420.0000000000,423.9999694824
78,421.0000000000,427.9999694824
79,422.0000000000,428.9999694824
80,426.0000000000,432.9999694824
81,427.0000000000,433.9999694824
82,431.0000000000,437.9999694824
83,432.0000000000,438.9999694824
84,436.0000000000,442.9999694824
85,437.0000000000,443.9999694824
86,441.0000000000,447.9999694824
87,442.0000000000,448.9999694824
88,446.0000000000,452.9999694824
89,447.0000000000,456.9999694824
90,451.0000000000,457.9999694824
91,452.0000000000,461.9999694824
92,456.0000000000,462.9999694824
93,460.0000000000,466.9999694824
94,461.0000000000,470.9999694824
95,465.0000000000,471.9999694824
96,466.0000000000,475.9999694824
97,470.0000000000,476.9999694824
98,474.0000000000,480.9999694824
99,475.0000000000,484.9999694824
100,479.0000000000,485.9999694824
101,480.0000000000,489.9999694824
102,484.0000000000,493.9999694824
103,488.0000000000,494.9999694824
104,489.0000000000,498.9999694824
105,493.0000000000,502.9999694824
106,497.0000000000,506.9999694824
107,498.0000000000,507.9999694824
108,502.0000000000,511.9999694824
109,500.0000305176,515.9999389648
110,501.0000000000,519.9999389648
111,502.0000000000,520.9999389648
112,500.0000305176,524.9999389648
113,501.0000000000,528.9999389648
114,502.0000000000,532.9999389648
115,500.0000305176,536.9999389648
116,501.0000000000,540.9999389648
117,502.0000000000,541.9999389648
118,500.0000305176,545.9999389648
119,501.0000000000,549.9999389648
120,502.0000000000,553.9999389648
121,500.0000305176,557.9999389648
122,501.0000000000,561.9999389648
123,502.0000000000,565.9999389648
124,500.0000305176,569.9999389648
125,501.0000000000,573.9999389648
126,502.0000000000,577.9999389648
127,500.0000305176,581.9999389648
128,501.0000000000,585.9999389648
129,502.0000000000,589.9999389648
130,500.0000305176,596.9999389648
131,501.0000000000,600.9999389648
132,502.0000000000,604.9999389648
133,500.0000305176,608.9999389648
134,501.0000000000,612.9999389648
135,502.0000000000,619.9999389648
136,500.0000305176,623.9999389648
137,501.0000000000,627.9999389648
138,502.0000000000,634.9999389648
139,500.0000305176,638.9999389648
140,501.0000000000,642.9999389648
141,502.0000000000,649.9999389648
142,500.0000305176,653.9999389648
143,501.0000000000,660.9999389648
144,502.0000000000,664.9999389648
145,500.0000305176,671.9999389648
146,501.0000000000,678.9999389648
147,502.0000000000,682.9999389648
148,500.0000305176,689.9999389648
149,501.0000000000,696.9999389648
150,502.0000000000,700.9999389648
151,500.0000305176,707.9999389648
152,501.0000000000,714.9999389648
153,502.0000000000,721.9999389648
154,500.0000305176,728.9999389648
155,501.0000000000,735.9999389648
156,502.0000000000,742.9999389648
157,500.0000305176,752.9999389648
158,501.0000000000,759.9999389648
159,502.0000000000,766.9999389648
160,500.0000305176,776.9999389648
161,501.0000000000,783.9999389648
162,502.0000000000,793.9999389648
163,500.0000305176,800.9999389648
164,501.0000000000,810.9999389648
165,502.0000000000,817.9999389648
166,500.0000305176,815.9999389648
167,501.0000000000,816.9999389648
168,502.0000000000,817.9999389648
169,500.0000305176,815.9999389648
170,504.0000000000,816.9999389648
171,505.0000000000,817.9999389648
172,506.0000000000,815.9999389648
173,510.0000000000,816.9999389648
174,511.0000000000,817.9999389648
175,515.0000000000,815.9999389648
176,516.0000000000,816.9999389648
177,520.0000000000,817.9999389648
178,521.0000000000,815.9999389648
179,522.0000000000,816.9999389648
180,526.0000000000,817.9999389648
181,527.0000000000,815.9999389648
182,531.0000000000,816.9999389648
183,532.0000000000,817.9999389648
184,536.0000000000,815.9999389648
185,537.0000000000,816.9999389648
186,541.0000000000,817.9999389648
187,542.0000000000,815.9999389648
188,546.0000000000,816.9999389648
189,547.0000000000,817.9999389648
190,551.0000000000,815.9999389648
191,552.0000000000,816.9999389648
192,556.0000000000,817.9999389648
193,560.0000000000,815.9999389648
194,561.0000000000,816.9999389648
195,565.0000000000,817.9999389648
196,566.0000000000,815.9999389648
197,570.0000000000,816.9999389648
198,574.0000000000,817.9999389648
199,575.0000000000,815.9999389648
200,579.0000000000,816.9999389648
201,580.0000000000,817.9999389648
202,584.0000000000,815.9999389648
203,588.0000000000,816.9999389648
204,589.0000000000,817.9999389648
205,593.0000000000,815.9999389648
206,597.0000000000,816.9999389648
207,598.0000000000,817.9999389648
208,602.0000000000,815.9999389648
209,606.0000000000,816.9999389648
210,610.0000000000,817.9999389648
211,611.0000000000,815.9999389648
212,615.0000000000,816.9999389648
213,619.0000000000,817.9999389648
214,623.0000000000,815.9999389648
215,624.0000000000,816.9999389648
216,628.0000000000,817.9999389648
217,632.0000000000,815.9999389648
218,636.0000000000,816.9999389648
219,640.0000000000,817.9999389648
220,644.0000000000,815.9999389648
221,645.0000000000,816.9999389648
222,649.0000000000,817.9999389648
223,653.0000000000,815.9999389648
224,657.0000000000,816.9999389648
225,661.0000000000,817.9999389648
226,665.0000000000,815.9999389648
227,669.0000000000,816.9999389648
228,673.0000000000,817.9999389648
229,677.0000000000,815.9999389648
230,681.0000000000,816.9999389648
231,685.0000000000,817.9999389648
232,689.0000000000,815.9999389648
233,693.0000000000,816.9999389648
234,700.0000000000,817.9999389648
235,704.0000000000,815.9999389648
236,708.0000000000,816.9999389648
237,712.0000000000,817.9999389648
238,716.0000000000,815.9999389648
239,723.0000000000,816.9999389648
240,727.0000000000,817.9999389648
241,731.0000000000,815.9999389648
242,738.0000000000,816.9999389648
243,742.0000000000,817.9999389648
244,746.0000000000,815.9999389648
245,753.0000000000,816.9999389648
246,757.0000000000,817.9999389648
247,764.0000000000,815.9999389648
248,768.0000000000,816.9999389648
249,775.0000000000,817.9999389648
250,782.0000000000,815.9999389648
251,786.0000000000,816.9999389648
252,793.0000000000,817.9999389648
253,800.0000000000,815.9999389648
254,804.0000000000,816.9999389648
255,811.0000000000,817.9999389648
256,0.0000000000,0.0000000000
257,0.0000000000,0.0000000000
258,0.0000000000,0.0000000000
259,0.0000000000,0.0000000000
260,0.0000000000,0.0000000000
261,0.0000000000,0.0000000000
262,0.0000000000,0.0000000000
263,0.0000000000,0.0000000000
264,0.0000000000,0.0000000000
265,0.0000000000,0.0000000000
266,0.0000000000,0.0000000000
267,0.0000000000,0.0000000000
268,0.0000000000,0.0000000000
269,0.0000000000,0.0000000000
270,0.0000000000,0.0000000000
271,0.0000000000,0.0000000000
272,0.0000000000,0.0000000000
273,0.0000000000,0.0000000000
274,0.0000000000,0.0000000000
275,0.0000000000,0.0000000000
276,0.0000000000,0.0000000000
277,0.0000000000,0.0000000000
278,0.0000000000,0.0000000000
279,0.0000000000,0.0000000000
280,0.0000000000,0.0000000000
281,0.0000000000,0.0000000000
282,0.0000000000,0.0000000000
283,0.0000000000,0.0000000000
284,0.0000000000,0.0000000000
285,0.0000000000,0.0000000000
286,0.0000000000,0.0000000000
